B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDWI,NDVI,output1
0.0477,0.0569,0.08,0.0701,0.1136,0.242,0.2495,0.264,0.2776,0.2195,0.1712,0.1028,-0.53488374,0.5803651,0
0.0477,0.0461,0.0878,0.0624,0.1236,0.2839,0.2954,0.3328,0.3204,0.2195,0.1744,0.1053,-0.5825012,0.68421054,0
0.0477,0.0418,0.0835,0.0457,0.1236,0.2839,0.2954,0.3792,0.3204,0.2195,0.1744,0.1053,-0.63907504,0.7848906,0
0.0477,0.0376,0.0808,0.0417,0.1126,0.3187,0.3541,0.4264,0.3527,0.2195,0.1646,0.0861,-0.681388,0.82183295,0
0.0477,0.0369,0.0796,0.0377,0.1126,0.3187,0.3541,0.4228,0.3527,0.2195,0.1646,0.0861,-0.683121,0.8362649,0
0.0524,0.022,0.03,0.0251,0.0546,0.1266,0.1642,0.1254,0.1636,0.1465,0.1219,0.08,-0.61389965,0.6664452,0
0.0524,0.0332,0.0358,0.0328,0.0546,0.1266,0.1642,0.1174,0.1636,0.1465,0.1219,0.08,-0.53263706,0.563249,0
0.0524,0.0362,0.0467,0.0599,0.0738,0.1285,0.1564,0.1044,0.1402,0.1465,0.1508,0.1192,-0.3818663,0.270846,0
0.0524,0.0753,0.0868,0.0957,0.0738,0.1285,0.1564,0.1418,0.1402,0.1465,0.1508,0.1192,-0.24059492,0.19410525,0
0.0524,0.0884,0.1032,0.1222,0.1189,0.1307,0.1429,0.173,0.1609,0.1465,0.1982,0.165,-0.25271538,0.17208672,0
0.0524,0.0884,0.1032,0.1222,0.1189,0.1307,0.1429,0.173,0.1609,0.1465,0.1982,0.165,-0.25271538,0.17208672,0
0.0688,0.1054,0.1362,0.1576,0.1338,0.157,0.1549,0.1966,0.1629,0.1592,0.1856,0.1672,-0.1814904,0.110107295,0
0.0688,0.099,0.1124,0.1312,0.1338,0.157,0.1549,0.1668,0.1629,0.1592,0.1856,0.1672,-0.19484241,0.11946311,0
0.0688,0.182,0.1856,0.2332,0.1879,0.2022,0.2293,0.2664,0.2135,0.1592,0.2145,0.1758,-0.17876108,0.06645318,0
0.0688,0.1926,0.1938,0.2182,0.1879,0.2022,0.2293,0.2568,0.2135,0.1592,0.2145,0.1758,-0.13981357,0.081263155,0
0.0688,0.133,0.1504,0.1636,0.1616,0.1872,0.1953,0.1842,0.1974,0.1592,0.2215,0.1948,-0.10101616,0.05922946,0
0.0688,0.1132,0.1284,0.1406,0.1616,0.1872,0.1953,0.1676,0.1974,0.1592,0.2215,0.1948,-0.13243246,0.087605484,0
0.073,0.1003,0.1076,0.0966,0.1022,0.1425,0.1676,0.1948,0.1854,0.1473,0.186,0.1543,-0.2883598,0.3369938,0
0.073,0.0722,0.073,0.0704,0.1022,0.1425,0.1676,0.1709,0.1854,0.1473,0.186,0.1543,-0.40139404,0.416494,0
