Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	tco3	tcwv	msl	NDWI	NDVI
191.5	6.5	78.1903365366429	29.979009796954003	0.0471	0.0495	0.0628	0.0367	0.0306	0.023	0.0262	0.023	0.0198	0.0857	0.0188	0.0173	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.603867	0.005536643	101355.14	0.46386945	-0.22948073
192.5	6.5	78.19042870362644	29.979009796954003	0.052	0.0487	0.0628	0.0378	0.0389	0.0249	0.0225	0.0213	0.0253	0.0561	0.0201	0.0164	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.60318	0.005536628	101355.16	0.49346018	-0.27918783
193.5	6.5	78.19052087060996	29.979009796954003	0.052	0.0474	0.0617	0.0398	0.0389	0.0249	0.0225	0.0216	0.0253	0.0561	0.0201	0.0164	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.602495	0.0055366135	101355.17	0.48139256	-0.2964169
194.5	6.5	78.1906130375935	29.979009796954003	0.052	0.0474	0.0617	0.0398	0.0399	0.0235	0.0248	0.0216	0.0167	0.0561	0.0188	0.0165	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.602495	0.0055366135	101355.17	0.48139256	-0.2964169
195.5	6.5	78.19070520457703	29.979009796954003	0.052	0.0486	0.0583	0.0427	0.0399	0.0235	0.0248	0.0261	0.0167	0.0561	0.0188	0.0165	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.60181	0.005536599	101355.19	0.38151658	-0.24127907
196.5	6.5	78.19079737156056	29.979009796954003	0.052	0.0451	0.0568	0.0463	0.0744	0.0449	0.0481	0.0229	0.0491	0.0561	0.0505	0.0335	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.601124	0.0055365846	101355.195	0.42534503	-0.3381503
197.5	6.5	78.1908895385441	29.979009796954003	0.052	0.0433	0.0575	0.0477	0.0744	0.0449	0.0481	0.0284	0.0491	0.0561	0.0505	0.0335	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.60044	0.00553657	101355.21	0.338766	-0.25361365
189.5	7.5	78.19015220267583	29.978917629970468	0.0471	0.0465	0.0582	0.0386	0.0306	0.023	0.0262	0.0246	0.0198	0.0857	0.0188	0.0173	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.605213	0.0055366666	101355.09	0.40579712	-0.22151902
190.5	7.5	78.19024436965937	29.978917629970468	0.0471	0.0482	0.0599	0.0376	0.0306	0.023	0.0262	0.0193	0.0198	0.0857	0.0188	0.0173	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.604528	0.005536652	101355.11	0.51262623	-0.32161686
191.5	7.5	78.1903365366429	29.978917629970468	0.0471	0.0501	0.0627	0.0367	0.0306	0.023	0.0262	0.0204	0.0198	0.0857	0.0188	0.0173	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.603844	0.0055366377	101355.125	0.5090253	-0.28546408
192.5	7.5	78.19042870362644	29.978917629970468	0.052	0.0515	0.0608	0.0375	0.0389	0.0249	0.0225	0.0225	0.0253	0.0561	0.0201	0.0164	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.603157	0.0055366233	101355.14	0.4597839	-0.25
