Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	tco3	tcwv	msl	NDWI	NDVI
210.5	6.5	78.19208770933004	29.979009796954003	0.1496	0.2146	0.2482	0.27	0.295	0.2951	0.296	0.2824	0.2948	0.2823	0.3868	0.4049	0.092	2.104	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.592192	0.005536391	101355.375	-0.06445535	0.022447504
211.5	6.5	78.19217987631357	29.979009796954003	0.1496	0.2262	0.2558	0.2758	0.295	0.2951	0.296	0.2938	0.2948	0.2823	0.3868	0.4049	0.092	2.062	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.591507	0.0055363765	101355.39	-0.06914117	0.031601135
205.5	7.5	78.19162687441236	29.978917629970468	0.1506	0.1762	0.2076	0.221	0.2314	0.2314	0.2343	0.2336	0.2371	0.2329	0.2666	0.2545	0.092	1.265	16	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.595598	0.0055364585	101355.29	-0.058930207	0.027716683
206.5	7.5	78.1917190413959	29.978917629970468	0.1506	0.1956	0.2272	0.2426	0.2878	0.2756	0.2871	0.258	0.2852	0.2329	0.3542	0.3592	0.092	1.265	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.594912	0.005536444	101355.305	-0.06347895	0.030763071
207.5	7.5	78.19181120837943	29.978917629970468	0.1506	0.215	0.2452	0.2648	0.2878	0.2756	0.2871	0.2746	0.2852	0.2329	0.3542	0.3592	0.092	2.062	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.594227	0.0055364296	101355.32	-0.05656023	0.018168312
208.5	7.5	78.19190337536297	29.978917629970468	0.1506	0.2194	0.2544	0.2758	0.2878	0.2756	0.2871	0.2924	0.2852	0.2329	0.3542	0.3592	0.092	2.062	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.593542	0.0055364147	101355.336	-0.06949522	0.029215088
209.5	7.5	78.1919955423465	29.978917629970468	0.1506	0.2116	0.2464	0.268	0.2878	0.2756	0.2871	0.281	0.2852	0.2329	0.3542	0.3592	0.092	2.104	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.592857	0.0055364002	101355.35	-0.065604836	0.023679383
205.5	8.5	78.19162687441236	29.978825462986933	0.1506	0.1962	0.2252	0.2398	0.263	0.262	0.2607	0.2533	0.2549	0.2329	0.3089	0.3123	0.092	1.913	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.595575	0.0055364533	101355.27	-0.05872521	0.027377823
206.5	8.5	78.1917190413959	29.978825462986933	0.1506	0.2126	0.2408	0.2552	0.263	0.262	0.2607	0.2718	0.2549	0.2329	0.3089	0.3123	0.092	1.913	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.59489	0.005536439	101355.29	-0.06047604	0.031499077
207.5	8.5	78.19181120837943	29.978825462986933	0.1506	0.2062	0.2402	0.2574	0.263	0.262	0.2607	0.2718	0.2549	0.2329	0.3089	0.3123	0.092	2.062	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.594206	0.0055364245	101355.305	-0.061718777	0.027210893
204.5	9.5	78.19153470742883	29.9787332960034	0.1506	0.1776	0.206	0.2276	0.263	0.262	0.2607	0.2391	0.2549	0.2329	0.3089	0.3123	0.092	1.265	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.59624	0.005536463	101355.25	-0.074365295	0.0246411
205.5	9.5	78.19162687441236	29.9787332960034	0.1506	0.2088	0.2372	0.2536	0.263	0.262	0.2607	0.2625	0.2549	0.2329	0.3089	0.3123	0.092	1.913	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.595554	0.005536448	101355.266	-0.050630342	0.017244695
88.5	10.5	78.18084333733894	29.978641129019866	0.0719	0.1032	0.124	0.141	0.129	0.1322	0.1404	0.1804	0.1436	0.1507	0.1649	0.146	0.09	1.582	3	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.666859	0.0055379686	101353.76	-0.18528253	0.122588664
203.5	10.5	78.1914425404453	29.978641129019866	0.0873	0.1742	0.2038	0.2194	0.2476	0.2461	0.2463	0.237	0.2523	0.0996	0.2918	0.2771	0.092	1.265	10	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.596903	0.0055364724	101355.22	-0.07531763	0.038562663
