Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	tco3	tcwv	msl	NDWI	NDVI
159.5	63.5	78.18738719316983	29.97375627889259	0.0523	0.0735	0.0864	0.04	0.0263	0.017	0.0211	0.0174	0.0188	0.0346	0.0112	0.0102	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.905758	0.0055403584	101973.06	0.6647399	-0.3937282
159.5	64.5	78.18738719316983	29.973664111909056	0.0523	0.0743	0.0882	0.0394	0.0257	0.0192	0.0212	0.017	0.0173	0.0346	0.0127	0.009	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.90594	0.0055403598	101973.05	0.6768061	-0.3971631
158.5	65.5	78.18729502618629	29.97357194492552	0.0523	0.077	0.0885	0.0401	0.0257	0.0192	0.0212	0.0194	0.0173	0.0346	0.0127	0.009	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.906896	0.0055403775	101973.03	0.6404078	-0.34789917
157.5	66.5	78.18720285920276	29.97347977794199	0.0556	0.073	0.089	0.0366	0.0274	0.0181	0.021	0.0194	0.0169	0.0214	0.0128	0.0093	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.907851	0.0055403947	101973.016	0.6420664	-0.30714285
158.5	66.5	78.18729502618629	29.97347977794199	0.0556	0.0752	0.0883	0.0386	0.0274	0.0181	0.021	0.0188	0.0169	0.0214	0.0128	0.0093	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.907078	0.005540379	101973.016	0.64892626	-0.34494776
156.5	67.5	78.18711069221922	29.973387610958454	0.0556	0.073	0.0875	0.0381	0.0274	0.0181	0.021	0.0192	0.0169	0.0214	0.0128	0.0093	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.908807	0.005540412	101973.0	0.64011246	-0.32984293
157.5	67.5	78.18720285920276	29.973387610958454	0.0556	0.0747	0.0896	0.0386	0.0274	0.0181	0.021	0.0201	0.0169	0.0214	0.0128	0.0093	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.908033	0.005540396	101973.0	0.63354605	-0.31516188
158.5	67.5	78.18729502618629	29.973387610958454	0.0556	0.073	0.0876	0.0374	0.0274	0.0181	0.021	0.0179	0.0169	0.0214	0.0128	0.0093	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.90726	0.0055403803	101973.0	0.66066355	-0.35262206
155.5	68.5	78.18701852523569	29.973295443974923	0.0556	0.072	0.0869	0.0373	0.0287	0.0176	0.0172	0.0184	0.0181	0.0214	0.0112	0.0108	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.909762	0.0055404296	101972.984	0.65052235	-0.3393178
156.5	68.5	78.18711069221922	29.973295443974923	0.0556	0.072	0.0875	0.0376	0.0294	0.0148	0.0199	0.0198	0.0162	0.0214	0.0142	0.0109	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.908989	0.005540414	101972.984	0.6309413	-0.31010452
157.5	68.5	78.18720285920276	29.973295443974923	0.0556	0.0753	0.0879	0.0403	0.0294	0.0148	0.0199	0.0198	0.0162	0.0214	0.0142	0.0109	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.9082155	0.005540398	101972.984	0.632312	-0.3410982
154.5	69.5	78.18692635825215	29.973203276991388	0.0556	0.078	0.0853	0.0368	0.0287	0.0176	0.0172	0.0184	0.0181	0.0214	0.0112	0.0108	0.086	0.603	NaN	NaN	6	6.445625	295.09848	54.2317	163.545	6.55298	299.547	6.32762	288.552	6.35776	291.096	6.39658	293.422	6.42187	294.667	6.45055	295.917	6.48211	297.151	6.34109	289.823	6.51693	298.382	6.59466	300.782	6.3827	292.664	6.44472	295.674	6.52356	298.603	13.910718	0.005540447	101972.96	0.64513016	-0.33333334
