Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
96.5	37.5	77.86860357174794	29.82555776900934	0.0862	0.0783	0.0908	0.101	0.1251	0.138	0.148	0.1221	0.1582	0.1638	0.1764	0.1533	0.06911901	0.09457642	0.18190955	-0.14701737
97.5	37.5	77.8686958114427	29.82555776900934	0.0862	0.0897	0.104	0.1116	0.1212	0.1338	0.1416	0.1456	0.1445	0.1638	0.1704	0.1532	0.06498063	0.13219288	0.078480974	-0.16666667
98.5	37.5	77.86878805113749	29.82555776900934	0.0862	0.0897	0.104	0.1116	0.1212	0.1338	0.1416	0.1456	0.1445	0.1638	0.1704	0.1532	0.06498063	0.13219288	0.078480974	-0.16666667
99.5	37.5	77.86888029083227	29.82555776900934	0.0862	0.0941	0.1106	0.119	0.1212	0.1338	0.1416	0.1495	0.1445	0.1638	0.1704	0.1532	0.06634847	0.11359402	0.065332904	-0.14955784
100.5	37.5	77.86897253052705	29.82555776900934	0.0878	0.0905	0.1023	0.11	0.1268	0.1313	0.1352	0.1548	0.1458	0.1603	0.1738	0.1617	0.0603598	0.16918428	0.057821084	-0.20420069
101.5	37.5	77.86906477022181	29.82555776900934	0.0878	0.1042	0.123	0.1282	0.1268	0.1313	0.1352	0.1512	0.1458	0.1603	0.1738	0.1617	0.07364744	0.08231927	0.06953849	-0.10284461
102.5	37.5	77.86915700991659	29.82555776900934	0.0878	0.0897	0.0937	0.1028	0.111	0.1213	0.125	0.1278	0.1397	0.1603	0.1698	0.1557	0.075188935	0.10841286	0.14112902	-0.15395035
103.5	37.5	77.86924924961137	29.82555776900934	0.0878	0.0796	0.0852	0.0966	0.111	0.1213	0.125	0.1342	0.1397	0.1603	0.1698	0.1557	0.06324462	0.16291162	0.11710523	-0.22333641
104.5	37.5	77.86934148930615	29.82555776900934	0.0878	0.0733	0.0866	0.0884	0.1199	0.1339	0.134	0.135	0.148	0.1603	0.1703	0.1553	0.057624854	0.20859447	0.11562397	-0.21841158
89.5	38.5	77.8679578938845	29.825465529314563	0.0858	0.1386	0.1578	0.1692	0.146	0.1604	0.1633	0.2175	0.176	0.1676	0.2038	0.1808	0.06380487	0.124903016	-0.032518417	-0.15907273
90.5	38.5	77.86805013357927	29.825465529314563	0.0858	0.098	0.114	0.1302	0.146	0.1604	0.1633	0.1639	0.176	0.1676	0.2038	0.1808	0.061284944	0.11458689	0.10851235	-0.179561
91.5	38.5	77.86814237327405	29.825465529314563	0.0858	0.0954	0.114	0.1234	0.1365	0.1425	0.1537	0.1608	0.1573	0.1676	0.1944	0.1782	0.060932882	0.13159744	0.094594605	-0.17030565
92.5	38.5	77.86823461296883	29.825465529314563	0.0858	0.1066	0.118	0.1364	0.1365	0.1425	0.1537	0.1806	0.1573	0.1676	0.1944	0.1782	0.05875262	0.13943219	0.036799986	-0.20964502
93.5	38.5	77.8683268526636	29.825465529314563	0.0862	0.1072	0.1218	0.1382	0.1413	0.1559	0.1608	0.1736	0.1717	0.1638	0.1971	0.1855	0.06325863	0.113534324	0.06339357	-0.17535546
94.5	38.5	77.86841909235838	29.825465529314563	0.0862	0.093	0.111	0.1184	0.1413	0.1559	0.1608	0.1594	0.1717	0.1638	0.1971	0.1855	0.0597697	0.1475882	0.105750345	-0.17899407
95.5	38.5	77.86851133205316	29.825465529314563	0.0862	0.0912	0.1048	0.1138	0.1184	0.1323	0.133	0.161	0.1536	0.1638	0.1774	0.1645	0.057377543	0.17176129	0.04846334	-0.21143717
96.5	38.5	77.86860357174794	29.825465529314563	0.0862	0.0929	0.1126	0.1144	0.1184	0.1323	0.133	0.1524	0.1536	0.1638	0.1774	0.1645	0.06370228	0.1424288	0.07580349	-0.15018868
97.5	38.5	77.8686958114427	29.825465529314563	0.0862	0.0915	0.1076	0.1152	0.1236	0.1313	0.1317	0.1486	0.1441	0.1638	0.1736	0.1615	0.0647347	0.12661107	0.077591576	-0.1600312
98.5	38.5	77.86878805113749	29.825465529314563	0.0862	0.0915	0.1076	0.1152	0.1236	0.1313	0.1317	0.1486	0.1441	0.1638	0.1736	0.1615	0.0647347	0.12661107	0.077591576	-0.1600312
99.5	38.5	77.86888029083227	29.825465529314563	0.0862	0.0934	0.1088	0.1226	0.1236	0.1313	0.1317	0.1522	0.1441	0.1638	0.1736	0.1615	0.06422658	0.10771471	0.06568448	-0.16628352
100.5	38.5	77.86897253052705	29.825465529314563	0.0878	0.0938	0.1013	0.112	0.1274	0.1393	0.1382	0.1384	0.1535	0.1603	0.1835	0.171	0.07246856	0.1054313	0.14010563	-0.15477681
101.5	38.5	77.86906477022181	29.825465529314563	0.0878	0.095	0.1158	0.1218	0.1268	0.1313	0.1352	0.1473	0.1458	0.1603	0.1738	0.1617	0.06834745	0.094760336	0.08252881	-0.11972635
102.5	38.5	77.86915700991659	29.825465529314563	0.0878	0.0882	0.0984	0.1004	0.111	0.1213	0.125	0.13	0.1397	0.1603	0.1698	0.1557	0.072698444	0.1284722	0.13275519	-0.13835377
103.5	38.5	77.86924924961137	29.825465529314563	0.0878	0.0844	0.0946	0.0958	0.111	0.1213	0.125	0.1165	0.1397	0.1603	0.1698	0.1557	0.07732773	0.097503535	0.18616836	-0.103742294
104.5	38.5	77.86934148930615	29.825465529314563	0.0878	0.0869	0.0982	0.0952	0.1199	0.1339	0.134	0.1234	0.148	0.1603	0.1703	0.1553	0.075418584	0.12900275	0.15968676	-0.11371842
88.5	39.5	77.86786565418973	29.825373289619787	0.0858	0.1078	0.1242	0.1324	0.146	0.1604	0.1633	0.1914	0.176	0.1676	0.2038	0.1808	0.053541854	0.18221124	0.031376485	-0.21292777
89.5	39.5	77.8679578938845	29.825373289619787	0.0858	0.1078	0.1242	0.1324	0.146	0.1604	0.1633	0.1914	0.176	0.1676	0.2038	0.1808	0.053541854	0.18221124	0.031376485	-0.21292777
90.5	39.5	77.86805013357927	29.825373289619787	0.0858	0.0896	0.1098	0.125	0.146	0.1604	0.1633	0.1648	0.176	0.1676	0.2038	0.1808	0.053887516	0.1373361	0.105805725	-0.20029132
91.5	39.5	77.86814237327405	29.825373289619787	0.0858	0.0857	0.1009	0.115	0.1365	0.1425	0.1537	0.1526	0.1573	0.1676	0.1944	0.1782	0.057689335	0.14050823	0.12046107	-0.20394479
92.5	39.5	77.86823461296883	29.825373289619787	0.0858	0.0893	0.0982	0.1154	0.1365	0.1425	0.1537	0.1528	0.1573	0.1676	0.1944	0.1782	0.060523763	0.13944815	0.119815685	-0.21752986
93.5	39.5	77.8683268526636	29.825373289619787	0.0862	0.0979	0.1198	0.1302	0.1413	0.1559	0.1608	0.1644	0.1717	0.1638	0.1971	0.1855	0.060916286	0.116089605	0.09045644	-0.15693173
94.5	39.5	77.86841909235838	29.825373289619787	0.0862	0.1008	0.1232	0.1396	0.1413	0.1559	0.1608	0.1765	0.1717	0.1638	0.1971	0.1855	0.056352615	0.11673521	0.055139203	-0.1778445
95.5	39.5	77.86851133205316	29.825373289619787	0.0862	0.0846	0.0998	0.108	0.1184	0.1323	0.133	0.1603	0.1536	0.1638	0.1774	0.1645	0.05237227	0.19493105	0.050636634	-0.23260286
96.5	39.5	77.86860357174794	29.825373289619787	0.0862	0.0789	0.0887	0.1021	0.1184	0.1323	0.133	0.1291	0.1536	0.1638	0.1774	0.1645	0.06559604	0.11678199	0.15758565	-0.18549128
97.5	39.5	77.8686958114427	29.825373289619787	0.0862	0.0824	0.0946	0.0951	0.1236	0.1313	0.1317	0.1366	0.1441	0.1638	0.1736	0.1615	0.06416198	0.17911093	0.11927789	-0.1816609
98.5	39.5	77.86878805113749	29.825373289619787	0.0862	0.0876	0.1168	0.1118	0.1236	0.1313	0.1317	0.143	0.1441	0.1638	0.1736	0.1615	0.06475142	0.122449	0.09665191	-0.10084682
99.5	39.5	77.86888029083227	29.825373289619787	0.0862	0.0876	0.1168	0.1118	0.1236	0.1313	0.1317	0.143	0.1441	0.1638	0.1736	0.1615	0.06475142	0.122449	0.09665191	-0.10084682
100.5	39.5	77.86897253052705	29.825373289619787	0.0878	0.1116	0.1302	0.1432	0.1274	0.1393	0.1382	0.1644	0.1535	0.1603	0.1835	0.171	0.07213932	0.06892068	0.054900862	-0.116089605
101.5	39.5	77.86906477022181	29.825373289619787	0.0878	0.1094	0.1128	0.1218	0.1274	0.1393	0.1382	0.1572	0.1535	0.1603	0.1835	0.171	0.07446628	0.1268817	0.07719405	-0.16444442
102.5	39.5	77.86915700991659	29.825373289619787	0.0878	0.0875	0.0999	0.1086	0.1293	0.1286	0.1421	0.1332	0.1502	0.1603	0.192	0.1777	0.0702898	0.101737	0.1808118	-0.14285716
103.5	39.5	77.86924924961137	29.825373289619787	0.0878	0.0924	0.0996	0.111	0.1293	0.1286	0.1421	0.1324	0.1502	0.1603	0.192	0.1777	0.07476268	0.087921135	0.18372378	-0.14137933
104.5	39.5	77.86934148930615	29.825373289619787	0.0878	0.1014	0.1078	0.1232	0.1342	0.1491	0.1537	0.1614	0.1641	0.1603	0.1902	0.1742	0.06550398	0.13422349	0.08191125	-0.19910848
88.5	40.5	77.86786565418973	29.82528104992501	0.0879	0.071	0.0881	0.088	0.1036	0.1348	0.1474	0.1626	0.1548	0.1703	0.1573	0.1454	0.039912105	0.29768553	-0.01656768	-0.2971679
