Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
68.5	12.5	77.86602086029419	29.82786376137875	0.0752	0.1026	0.1286	0.1328	0.1326	0.1297	0.1372	0.1856	0.1383	0.1366	0.1511	0.1299	0.052608322	0.16582915	-0.102465115	-0.1814131
62.5	13.5	77.86546742212553	29.827771521683974	0.0768	0.1074	0.1322	0.1494	0.1343	0.1304	0.1527	0.1982	0.1407	0.1446	0.1614	0.1468	0.04931438	0.14039128	-0.102335915	-0.19975786
63.5	13.5	77.86555966182031	29.827771521683974	0.0768	0.1112	0.1392	0.1494	0.1343	0.1304	0.1527	0.1986	0.1407	0.1446	0.1614	0.1468	0.05219794	0.14137931	-0.1033333	-0.17584367
64.5	13.5	77.86565190151508	29.827771521683974	0.0768	0.103	0.1338	0.1354	0.1282	0.1532	0.1534	0.1858	0.1672	0.1446	0.1562	0.1551	0.0528213	0.1569116	-0.08654969	-0.16270338
60.5	14.5	77.86528294273597	29.827679281989198	0.0768	0.1068	0.1444	0.155	0.1269	0.1384	0.144	0.2028	0.1466	0.1446	0.1508	0.1518	0.046184756	0.1335942	-0.14705883	-0.16820277
61.5	14.5	77.86537518243075	29.827679281989198	0.0768	0.1132	0.1446	0.1514	0.1269	0.1384	0.144	0.1902	0.1466	0.1446	0.1508	0.1518	0.058653742	0.11358314	-0.11554251	-0.13620071
54.5	15.5	77.86472950456732	29.82758704229442	0.0743	0.0936	0.1158	0.1252	0.1097	0.1086	0.1252	0.1667	0.1176	0.1504	0.1317	0.1208	0.056074664	0.14217198	-0.11729226	-0.180177
56.5	15.5	77.86491398395687	29.82758704229442	0.0743	0.0936	0.12	0.1342	0.1185	0.1355	0.1328	0.183	0.1498	0.1504	0.1513	0.1391	0.046726618	0.15384613	-0.09482501	-0.2079208
57.5	15.5	77.86500622365165	29.82758704229442	0.0743	0.0987	0.1268	0.135	0.1185	0.1355	0.1328	0.1766	0.1498	0.1504	0.1513	0.1391	0.054574944	0.13350445	-0.07715766	-0.16413973
51.5	16.5	77.864452785483	29.827494802599645	0.0715	0.1028	0.1266	0.1376	0.1196	0.145	0.1427	0.1708	0.148	0.1376	0.1383	0.134	0.06125996	0.10765238	-0.105143964	-0.1486214
52.5	16.5	77.86454502517776	29.827494802599645	0.0715	0.1064	0.126	0.1354	0.1196	0.145	0.1427	0.1749	0.148	0.1376	0.1383	0.134	0.06185773	0.12729616	-0.11685822	-0.16251244
53.5	16.5	77.86463726487254	29.827494802599645	0.0708	0.1034	0.1264	0.1314	0.1203	0.1236	0.1192	0.1827	0.1328	0.1437	0.1384	0.1202	0.054926835	0.16332375	-0.13796322	-0.1821417
33.5	20.5	77.86279247097701	29.82712584382054	0.0821	0.0982	0.131	0.1394	0.1243	0.1358	0.1337	0.1667	0.1467	0.1376	0.1595	0.1562	0.05984299	0.089186534	-0.022072356	-0.11991941
34.5	20.5	77.86288471067179	29.82712584382054	0.0821	0.107	0.1356	0.1576	0.1243	0.1358	0.1337	0.1954	0.1467	0.1376	0.1595	0.1562	0.0505925	0.10708215	-0.101155244	-0.18066464
31.5	21.5	77.86260799158747	29.827033604125763	0.0804	0.1082	0.141	0.158	0.1531	0.1686	0.163	0.2002	0.1821	0.1387	0.1894	0.1771	0.048822735	0.11781127	-0.02772075	-0.17350528
32.5	21.5	77.86270023128223	29.827033604125763	0.0804	0.1222	0.1592	0.1838	0.1531	0.1686	0.163	0.241	0.1821	0.1387	0.1894	0.1771	0.03689274	0.1346516	-0.11988846	-0.2043978
33.5	21.5	77.86279247097701	29.827033604125763	0.0781	0.1204	0.1566	0.1732	0.1462	0.1349	0.1559	0.23	0.1456	0.1454	0.1723	0.1591	0.041726675	0.14087303	-0.14342533	-0.18986033
28.5	22.5	77.86233127250313	29.826941364430986	0.0804	0.1096	0.138	0.152	0.1311	0.1556	0.1643	0.2069	0.1683	0.1387	0.1645	0.1717	0.04612717	0.15296742	-0.11416263	-0.19976807
29.5	22.5	77.8624235121979	29.826941364430986	0.0804	0.1112	0.1444	0.1538	0.1311	0.1556	0.1643	0.2137	0.1683	0.1387	0.1645	0.1717	0.04353809	0.16299321	-0.1300899	-0.19352135
26.5	23.5	77.86214679311358	29.82684912473621	0.0804	0.1032	0.1248	0.141	0.1121	0.1358	0.1333	0.1918	0.1438	0.1387	0.1306	0.1245	0.049544144	0.15264422	-0.18982628	-0.2116235
20.5	24.5	77.86159335494492	29.826756885041434	0.0797	0.105	0.1388	0.149	0.1144	0.1248	0.1292	0.185	0.1329	0.1385	0.1388	0.1466	0.054918498	0.10778443	-0.14268069	-0.14268069
21.5	24.5	77.8616855946397	29.826756885041434	0.0797	0.105	0.1388	0.149	0.1144	0.1248	0.1292	0.185	0.1329	0.1385	0.1388	0.1466	0.054918498	0.10778443	-0.14268069	-0.14268069
23.5	24.5	77.86187007402926	29.826756885041434	0.0797	0.1218	0.1506	0.1572	0.1408	0.1413	0.1358	0.2077	0.1472	0.1385	0.1682	0.149	0.05566261	0.1383941	-0.10508113	-0.15936366
16.5	25.5	77.86122439616581	29.826664645346657	0.0781	0.102	0.1242	0.1356	0.1281	0.1367	0.1514	0.1561	0.1485	0.1388	0.1539	0.1555	0.069035046	0.0702777	-0.007096798	-0.11380664
18.5	25.5	77.86140887555537	29.826664645346657	0.0781	0.1128	0.1406	0.155	0.1317	0.1524	0.1454	0.1986	0.1679	0.1388	0.162	0.1542	0.053508665	0.12330315	-0.101497486	-0.17099057
