Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
101.5	34.5	77.86906477022181	29.82583448809367	0.0777	0.0814	0.0985	0.1154	0.1534	0.164	0.1729	0.1654	0.1952	0.2168	0.2186	0.1865	0.04682598	0.17806266	0.13854168	-0.2535051
102.5	34.5	77.86915700991659	29.82583448809367	0.0763	0.0897	0.1044	0.1208	0.1478	0.1662	0.1846	0.1725	0.1998	0.2168	0.2311	0.1996	0.049553487	0.17627001	0.14519325	-0.24593715
103.5	34.5	77.86924924961137	29.82583448809367	0.0763	0.0966	0.111	0.1198	0.1478	0.1662	0.1846	0.1885	0.1998	0.2168	0.2311	0.1996	0.04602997	0.2228349	0.10152524	-0.2587646
104.5	34.5	77.86934148930615	29.82583448809367	0.0735	0.1058	0.1264	0.1426	0.1592	0.1822	0.1918	0.1952	0.2163	0.2168	0.233	0.2065	0.049724165	0.15571342	0.088276505	-0.21393037
88.5	35.5	77.86786565418973	29.825742248398893	0.084	0.0808	0.1062	0.1066	0.157	0.2034	0.2157	0.2185	0.2396	0.2262	0.2491	0.21	0.015881605	0.34420177	0.06544054	-0.3458577
89.5	35.5	77.8679578938845	29.825742248398893	0.0825	0.0952	0.1092	0.1232	0.154	0.1999	0.2169	0.2212	0.2235	0.2262	0.2331	0.2077	0.026129639	0.28455284	0.02619413	-0.33898306
90.5	35.5	77.86805013357927	29.825742248398893	0.0825	0.0738	0.0991	0.1166	0.154	0.1999	0.2169	0.165	0.2235	0.2262	0.2331	0.2077	0.040829454	0.17187501	0.17106253	-0.24952671
91.5	35.5	77.86814237327405	29.825742248398893	0.0806	0.0933	0.1104	0.1118	0.1302	0.1587	0.1693	0.177	0.1878	0.2262	0.2213	0.1841	0.04992186	0.22576177	0.11122271	-0.23173279
92.5	35.5	77.86823461296883	29.825742248398893	0.0806	0.1006	0.1098	0.1132	0.1302	0.1587	0.1693	0.183	0.1878	0.2262	0.2213	0.1841	0.052461017	0.23565158	0.09473165	-0.24999999
93.5	35.5	77.8683268526636	29.825742248398893	0.0784	0.0755	0.0975	0.1104	0.1394	0.1781	0.1874	0.1798	0.2029	0.2017	0.2196	0.1869	0.033734296	0.23914543	0.09964948	-0.2967905
