Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
18.5	68.5	77.86140887555537	29.82269833847127	0.0705	0.0728	0.0979	0.1092	0.1195	0.1317	0.143	0.1508	0.1527	0.1835	0.1999	0.1845	0.04815396	0.16000001	0.1400057	-0.21270607
81.5	99.5	77.86721997632628	29.8198389079332	0.0701	0.086	0.1108	0.12	0.1363	0.1528	0.1614	0.1686	0.1768	0.179	0.2317	0.2192	0.048759107	0.16839916	0.1576318	-0.20687185
82.5	99.5	77.86731221602106	29.8198389079332	0.0701	0.0864	0.1092	0.116	0.1353	0.1518	0.162	0.165	0.1691	0.179	0.2264	0.2081	0.051151376	0.17437726	0.15687275	-0.2035011
83.5	99.5	77.86740445571584	29.8198389079332	0.0701	0.0835	0.1064	0.114	0.1353	0.1518	0.162	0.1698	0.1691	0.179	0.2264	0.2081	0.0460229	0.19661734	0.14285715	-0.22954382
81.5	100.5	77.86721997632628	29.819746668238423	0.0701	0.0842	0.1086	0.1196	0.1363	0.1528	0.1614	0.1723	0.1768	0.179	0.2317	0.2192	0.045162596	0.18054128	0.14702973	-0.22677109
82.5	100.5	77.86731221602106	29.819746668238423	0.0701	0.0891	0.1078	0.117	0.1353	0.1518	0.162	0.1662	0.1691	0.179	0.2264	0.2081	0.052675024	0.17372881	0.15333675	-0.21313868
83.5	100.5	77.86740445571584	29.819746668238423	0.0701	0.0857	0.1094	0.1142	0.1353	0.1518	0.162	0.1646	0.1691	0.179	0.2264	0.2081	0.05080734	0.18077473	0.15805627	-0.20145987
84.5	100.5	77.86749669541062	29.819746668238423	0.0685	0.0846	0.1062	0.1152	0.1249	0.1554	0.1675	0.1697	0.1802	0.1778	0.202	0.1691	0.046981372	0.19129519	0.086898066	-0.23015584
85.5	100.5	77.86758893510539	29.819746668238423	0.0685	0.0846	0.1062	0.1152	0.1249	0.1554	0.1675	0.1697	0.1802	0.1778	0.202	0.1691	0.046981372	0.19129519	0.086898066	-0.23015584
81.5	101.5	77.86721997632628	29.819654428543647	0.0701	0.0846	0.1086	0.1174	0.1355	0.1517	0.158	0.172	0.1746	0.179	0.2324	0.2233	0.045662317	0.18866622	0.14935705	-0.22594443
