Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
40.5	33.5	77.86343814884044	29.825926727788445	0.087	0.1682	0.2022	0.2188	0.2035	0.259	0.2771	0.2876	0.2857	0.2932	0.2762	0.217	0.047850836	0.13586101	-0.020219961	-0.17435691
41.5	33.5	77.86353038853522	29.825926727788445	0.0878	0.1726	0.2094	0.2272	0.2415	0.2727	0.287	0.295	0.2997	0.2932	0.2895	0.2356	0.047211427	0.1298353	-0.009409733	-0.16970657
42.5	33.5	77.86362262823	29.825926727788445	0.0878	0.1726	0.2094	0.2272	0.2415	0.2727	0.287	0.295	0.2997	0.2932	0.2895	0.2356	0.047211427	0.1298353	-0.009409733	-0.16970657
41.5	34.5	77.86353038853522	29.82583448809367	0.0878	0.1802	0.209	0.232	0.2415	0.2727	0.287	0.2998	0.2997	0.2932	0.2895	0.2356	0.05068453	0.12749156	-0.017478382	-0.17845912
42.5	34.5	77.86362262823	29.82583448809367	0.0878	0.1802	0.209	0.232	0.2415	0.2727	0.287	0.2998	0.2997	0.2932	0.2895	0.2356	0.05068453	0.12749156	-0.017478382	-0.17845912
43.5	34.5	77.86371486792478	29.82583448809367	0.0878	0.1686	0.2144	0.2106	0.2415	0.2727	0.287	0.3029	0.2997	0.2932	0.2895	0.2356	0.03940397	0.1797468	-0.022619832	-0.1710806
41.5	35.5	77.86353038853522	29.825742248398893	0.0908	0.1682	0.2078	0.222	0.2511	0.2865	0.2995	0.299	0.305	0.2932	0.2872	0.2368	0.041312944	0.1477927	-0.020129634	-0.17995264
42.5	35.5	77.86362262823	29.825742248398893	0.0908	0.1682	0.2078	0.222	0.2511	0.2865	0.2995	0.299	0.305	0.2932	0.2872	0.2368	0.041312944	0.1477927	-0.020129634	-0.17995264
43.5	35.5	77.86371486792478	29.825742248398893	0.0908	0.1752	0.2064	0.2336	0.2511	0.2865	0.2995	0.3	0.305	0.2932	0.2872	0.2368	0.046473835	0.12443779	-0.021798378	-0.18483412
42.5	36.5	77.86362262823	29.825650008704116	0.0908	0.1382	0.1752	0.1852	0.2511	0.2865	0.2995	0.2796	0.305	0.2932	0.2872	0.2368	0.027862843	0.20309809	0.013408626	-0.22955143
43.5	36.5	77.86371486792478	29.825650008704116	0.0908	0.1748	0.2116	0.221	0.2511	0.2865	0.2995	0.2966	0.305	0.2932	0.2872	0.2368	0.048096046	0.14605875	-0.016101422	-0.167257
44.5	36.5	77.86380710761955	29.825650008704116	0.0844	0.1594	0.1926	0.2022	0.1927	0.2553	0.2748	0.2894	0.2939	0.2932	0.2755	0.2112	0.039609574	0.17738001	-0.024606146	-0.20082991
42.5	37.5	77.86362262823	29.82555776900934	0.0878	0.1614	0.2	0.2188	0.1996	0.2629	0.276	0.292	0.293	0.2932	0.2663	0.2078	0.039756887	0.14330463	-0.046032604	-0.18699186
43.5	37.5	77.86371486792478	29.82555776900934	0.0878	0.1614	0.2	0.2188	0.1996	0.2629	0.276	0.292	0.293	0.2932	0.2663	0.2078	0.039756887	0.14330463	-0.046032604	-0.18699186
44.5	37.5	77.86380710761955	29.82555776900934	0.0847	0.1726	0.2112	0.2184	0.2415	0.2833	0.2933	0.2912	0.3029	0.2932	0.2885	0.2311	0.049390715	0.14285716	-0.004657583	-0.15923569
44.5	38.5	77.86380710761955	29.825465529314563	0.0847	0.1638	0.2096	0.2326	0.2415	0.2833	0.2933	0.289	0.3029	0.2932	0.2885	0.2311	0.04344346	0.10812884	-8.657897E-4	-0.1592459
45.5	38.5	77.86389934731433	29.825465529314563	0.0847	0.1598	0.195	0.1992	0.2415	0.2833	0.2933	0.2889	0.3029	0.2932	0.2885	0.2311	0.040224012	0.18377379	-6.9272076E-4	-0.19404836
45.5	39.5	77.86389934731433	29.825373289619787	0.0819	0.1606	0.2082	0.233	0.2487	0.2864	0.2994	0.2967	0.3025	0.2904	0.2905	0.2416	0.036406074	0.12025676	-0.01055861	-0.17528225
45.5	40.5	77.86389934731433	29.82528104992501	0.0819	0.1864	0.2186	0.2366	0.2487	0.2864	0.2994	0.2998	0.3025	0.2904	0.2905	0.2416	0.055763572	0.11782254	-0.01575474	-0.1566358
48.5	46.5	77.86417606639866	29.82472761175635	0.0728	0.1114	0.134	0.1396	0.1588	0.2241	0.2459	0.2126	0.2545	0.2668	0.2391	0.1826	0.044332784	0.2072686	0.05866726	-0.22677435
48.5	47.5	77.86417606639866	29.824635372061575	0.0706	0.1148	0.1388	0.1486	0.1534	0.1936	0.207	0.1932	0.2241	0.2668	0.2131	0.1632	0.058243956	0.1304857	0.04897857	-0.16385546
48.5	48.5	77.86417606639866	29.8245431323668	0.0706	0.105	0.1266	0.1382	0.1534	0.1936	0.207	0.1838	0.2241	0.2668	0.2131	0.1632	0.0556067	0.1416149	0.07382213	-0.18427835
49.5	49.5	77.86426830609344	29.824450892672022	0.0731	0.0994	0.1252	0.1296	0.1551	0.1875	0.2013	0.192	0.2232	0.2668	0.2091	0.1614	0.04631648	0.19402984	0.04263274	-0.21059267
49.5	50.5	77.86426830609344	29.824358652977246	0.0731	0.1136	0.1322	0.137	0.1551	0.1875	0.2013	0.1941	0.2232	0.2668	0.2091	0.1614	0.056744765	0.17245549	0.037202347	-0.18970273
50.5	51.5	77.86436054578822	29.82426641328247	0.0735	0.134	0.1604	0.1798	0.1731	0.2265	0.2401	0.2424	0.2553	0.2654	0.2395	0.1921	0.0457564	0.14827096	-0.006017855	-0.20357497
50.5	52.5	77.86436054578822	29.824174173587693	0.0735	0.1592	0.1872	0.2004	0.1731	0.2265	0.2401	0.2525	0.2553	0.2654	0.2395	0.1921	0.060607888	0.11503644	-0.026422758	-0.14851035
50.5	53.5	77.86436054578822	29.824081933892916	0.0776	0.1646	0.1976	0.216	0.2201	0.2508	0.264	0.259	0.2797	0.2654	0.2665	0.2206	0.061303817	0.09052631	0.014272108	-0.13447218
56.5	75.5	77.86491398395687	29.822052660607834	0.0941	0.1914	0.2246	0.2424	0.277	0.2955	0.3064	0.3032	0.3106	0.2772	0.3075	0.2823	0.057909682	0.11143695	0.0070410976	-0.14892004
57.5	75.5	77.86500622365165	29.822052660607834	0.0941	0.1876	0.2298	0.2536	0.277	0.2955	0.3064	0.3013	0.3106	0.2772	0.3075	0.2823	0.055886377	0.08596142	0.010183994	-0.13462622
56.5	76.5	77.86491398395687	29.821960420913058	0.0941	0.1788	0.2246	0.2452	0.277	0.2955	0.3064	0.2952	0.3106	0.2772	0.3075	0.2823	0.052175768	0.09252405	0.020408187	-0.13582145
57.5	76.5	77.86500622365165	29.821960420913058	0.0941	0.1886	0.216	0.2396	0.277	0.2955	0.3064	0.2955	0.3106	0.2772	0.3075	0.2823	0.06003187	0.10446647	0.019900488	-0.15542522
56.5	77.5	77.86491398395687	29.82186818121828	0.0941	0.1866	0.2094	0.2274	0.2612	0.2845	0.2946	0.283	0.2962	0.2772	0.2987	0.2731	0.065562226	0.10893414	0.02698988	-0.14947197
57.5	77.5	77.86500622365165	29.82186818121828	0.0941	0.172	0.215	0.231	0.2612	0.2845	0.2946	0.2894	0.2962	0.2772	0.2987	0.2731	0.0499315	0.112221375	0.015813626	-0.14750199
58.5	77.5	77.86509846334643	29.82186818121828	0.0952	0.2	0.2332	0.2504	0.2515	0.2883	0.299	0.2969	0.3065	0.2911	0.2994	0.2637	0.06856785	0.08496254	0.0041925167	-0.12016602
57.5	78.5	77.86500622365165	29.821775941523505	0.0941	0.1696	0.2058	0.2252	0.2612	0.2845	0.2946	0.2862	0.2962	0.2772	0.2987	0.2731	0.049800623	0.11928039	0.021371206	-0.16341461
58.5	78.5	77.86509846334643	29.821775941523505	0.0952	0.199	0.2342	0.2558	0.2515	0.2883	0.299	0.2994	0.3065	0.2911	0.2994	0.2637	0.0663149	0.078530245	0.0	-0.1221889
57.5	79.5	77.86500622365165	29.82168370182873	0.0899	0.1886	0.215	0.236	0.2468	0.2806	0.289	0.2902	0.292	0.2772	0.2908	0.2661	0.06307142	0.10300265	0.0010327197	-0.14885192
58.5	79.5	77.86509846334643	29.82168370182873	0.0935	0.1758	0.2238	0.2458	0.2588	0.2819	0.2986	0.2974	0.3011	0.2911	0.2998	0.2647	0.048456457	0.09499262	0.0040187724	-0.14121257
59.5	79.5	77.86519070304121	29.82168370182873	0.0935	0.1788	0.21	0.2292	0.2588	0.2819	0.2986	0.2893	0.3011	0.2911	0.2998	0.2647	0.055559415	0.11591126	0.017823823	-0.15882236
57.5	80.5	77.86500622365165	29.821591462133952	0.0899	0.1842	0.228	0.243	0.2468	0.2806	0.289	0.2898	0.292	0.2772	0.2908	0.2661	0.05969635	0.087837815	0.0017223854	-0.11935108
58.5	80.5	77.86509846334643	29.821591462133952	0.0935	0.1692	0.2044	0.226	0.2588	0.2819	0.2986	0.2874	0.3011	0.2911	0.2998	0.2647	0.04878474	0.11959488	0.021117168	-0.1687678
59.5	80.5	77.86519070304121	29.821591462133952	0.0935	0.1874	0.2254	0.2438	0.2588	0.2819	0.2986	0.2873	0.3011	0.2911	0.2998	0.2647	0.06375153	0.08190546	0.021291122	-0.12073336
57.5	81.5	77.86500622365165	29.821499222439176	0.0832	0.1776	0.1908	0.2074	0.2037	0.2477	0.255	0.2684	0.2663	0.2793	0.2591	0.2249	0.06656251	0.12820517	-0.017630376	-0.16898958
58.5	81.5	77.86509846334643	29.821499222439176	0.0891	0.1606	0.195	0.216	0.2331	0.2541	0.2541	0.2744	0.2635	0.271	0.2669	0.2354	0.04919513	0.11908644	-0.01385552	-0.16915213
59.5	81.5	77.86519070304121	29.821499222439176	0.0891	0.193	0.2244	0.2446	0.2331	0.2541	0.2541	0.2868	0.2635	0.271	0.2669	0.2354	0.06862581	0.07941287	-0.03594003	-0.12206572
58.5	82.5	77.86509846334643	29.8214069827444	0.0891	0.1224	0.1634	0.1804	0.2331	0.2541	0.2541	0.2302	0.2635	0.271	0.2669	0.2354	0.043250386	0.12128591	0.07382823	-0.16971545
59.5	82.5	77.86519070304121	29.8214069827444	0.0891	0.162	0.1938	0.214	0.2331	0.2541	0.2541	0.2524	0.2635	0.271	0.2669	0.2354	0.06295899	0.08233278	0.027922187	-0.13133125
60.5	82.5	77.86528294273597	29.8214069827444	0.0893	0.1418	0.181	0.1992	0.2051	0.2467	0.2559	0.2587	0.2724	0.271	0.2753	0.2351	0.042798102	0.12994105	0.03108611	-0.17671144
58.5	83.5	77.86509846334643	29.821314743049623	0.0857	0.1036	0.1262	0.1362	0.1818	0.2009	0.2148	0.1936	0.2138	0.271	0.2264	0.1891	0.048839524	0.17404489	0.07809525	-0.2107567
59.5	83.5	77.86519070304121	29.821314743049623	0.0857	0.1178	0.1422	0.1554	0.1818	0.2009	0.2148	0.2006	0.2138	0.271	0.2264	0.1891	0.056457657	0.12696631	0.060421556	-0.17036174
60.5	83.5	77.86528294273597	29.821314743049623	0.0882	0.1266	0.1606	0.1774	0.1902	0.2132	0.2306	0.2216	0.2379	0.271	0.241	0.2017	0.05162312	0.11077695	0.04193688	-0.15960227
58.5	84.5	77.86509846334643	29.821222503354846	0.0857	0.1068	0.1256	0.1436	0.1818	0.2009	0.2148	0.1908	0.2138	0.271	0.2264	0.1891	0.05306676	0.14114831	0.08533079	-0.20606828
