Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
31.5	20.5	77.93879797947284	29.79751690179729	0.0493	0.0659	0.0962	0.1132	0.1289	0.1738	0.1902	0.1854	0.1982	0.2566	0.2047	0.1724	0.049474493	0.24179502
32.5	20.5	77.9388902191676	29.79751690179729	0.056	0.064	0.0898	0.1092	0.1308	0.1564	0.165	0.1684	0.1698	0.2349	0.1993	0.1761	0.0840359	0.2132565
33.5	20.5	77.93898245886238	29.79751690179729	0.056	0.0623	0.0791	0.0936	0.1308	0.1564	0.165	0.1472	0.1698	0.2349	0.1993	0.1761	0.15036075	0.22259139
34.5	20.5	77.93907469855716	29.79751690179729	0.0611	0.0614	0.074	0.0834	0.1404	0.1858	0.214	0.1596	0.2139	0.2349	0.2087	0.1557	0.13331522	0.31358024
35.5	20.5	77.93916693825194	29.79751690179729	0.0611	0.0692	0.0892	0.1038	0.1404	0.1858	0.214	0.224	0.2139	0.2349	0.2087	0.1557	-0.035359383	0.36668703
36.5	20.5	77.93925917794671	29.79751690179729	0.0626	0.0622	0.0885	0.0916	0.1487	0.2202	0.2346	0.2484	0.2435	0.2349	0.2241	0.166	-0.05142859	0.46117648
37.5	20.5	77.93935141764149	29.79751690179729	0.0626	0.0534	0.0773	0.0778	0.1487	0.2202	0.2346	0.2216	0.2435	0.2349	0.2241	0.166	0.005609149	0.48029393
38.5	20.5	77.93944365733627	29.79751690179729	0.0626	0.0534	0.0773	0.0778	0.1487	0.2202	0.2346	0.2216	0.2435	0.2349	0.2241	0.166	0.005609149	0.48029393
39.5	20.5	77.93953589703105	29.79751690179729	0.0618	0.0777	0.1028	0.1244	0.1505	0.1927	0.2102	0.2084	0.2235	0.2277	0.2162	0.1735	0.018370226	0.25240386
40.5	20.5	77.93962813672582	29.79751690179729	0.0618	0.091	0.1132	0.1394	0.1505	0.1927	0.2102	0.2014	0.2235	0.2277	0.2162	0.1735	0.03544061	0.18192485
41.5	20.5	77.9397203764206	29.79751690179729	0.0603	0.0744	0.0951	0.1096	0.1378	0.1852	0.2008	0.2084	0.2217	0.2277	0.2106	0.1673	0.0052506146	0.3106918
42.5	20.5	77.93981261611538	29.79751690179729	0.0603	0.0578	0.0822	0.0944	0.1378	0.1852	0.2008	0.2124	0.2217	0.2277	0.2106	0.1673	-0.004255321	0.3846154
43.5	20.5	77.93990485581016	29.79751690179729	0.0564	0.0551	0.0804	0.0867	0.111	0.1714	0.1979	0.2014	0.2144	0.2277	0.1968	0.1406	-0.011551993	0.39812565
44.5	20.5	77.93999709550492	29.79751690179729	0.0564	0.051	0.0796	0.082	0.111	0.1714	0.1979	0.2222	0.2144	0.2277	0.1968	0.1406	-0.060620554	0.460881
45.5	20.5	77.9400893351997	29.79751690179729	0.0515	0.0454	0.071	0.07	0.1025	0.1891	0.2276	0.2304	0.2524	0.2669	0.1871	0.1257	-0.10371258	0.53395474
46.5	20.5	77.94018157489448	29.79751690179729	0.0515	0.0454	0.0668	0.063	0.1025	0.1891	0.2276	0.2317	0.2524	0.2669	0.1871	0.1257	-0.10649477	0.5724466
47.5	20.5	77.94027381458926	29.79751690179729	0.0493	0.0511	0.0753	0.0796	0.1139	0.1896	0.2067	0.2056	0.2382	0.2669	0.2007	0.148	-0.012060039	0.44179523
48.5	20.5	77.94036605428403	29.79751690179729	0.0493	0.0511	0.0753	0.0796	0.1139	0.1896	0.2067	0.2056	0.2382	0.2669	0.2007	0.148	-0.012060039	0.44179523
49.5	20.5	77.9404582939788	29.79751690179729	0.0493	0.0641	0.088	0.1048	0.1139	0.1896	0.2067	0.1838	0.2382	0.2669	0.2007	0.148	0.043953195	0.27373526
50.5	20.5	77.94055053367359	29.79751690179729	0.0508	0.0639	0.0844	0.1028	0.1121	0.2011	0.2491	0.1796	0.2623	0.2669	0.1979	0.1394	0.04847681	0.2719547
51.5	20.5	77.94064277336837	29.79751690179729	0.0508	0.0485	0.0708	0.0675	0.1121	0.2011	0.2491	0.2444	0.2623	0.2669	0.1979	0.1394	-0.10513226	0.56716895
52.5	20.5	77.94073501306313	29.79751690179729	0.0547	0.0386	0.0652	0.0479	0.0988	0.2664	0.3057	0.3045	0.3258	0.2692	0.1812	0.1077	-0.25386044	0.72814983
53.5	20.5	77.94082725275791	29.79751690179729	0.0547	0.0393	0.0644	0.0516	0.0988	0.2664	0.3057	0.3296	0.3258	0.2692	0.1812	0.1077	-0.2905247	0.72927594
54.5	20.5	77.9409194924527	29.79751690179729	0.062	0.0447	0.0677	0.0576	0.1255	0.2116	0.2518	0.2918	0.2587	0.2692	0.1998	0.1401	-0.18714401	0.6702919
55.5	20.5	77.94101173214747	29.79751690179729	0.062	0.0638	0.085	0.0903	0.1255	0.2116	0.2518	0.2309	0.2587	0.2692	0.1998	0.1401	-0.07220805	0.4377335
56.5	20.5	77.94110397184224	29.79751690179729	0.0748	0.076	0.1016	0.1146	0.1689	0.1981	0.2129	0.2046	0.2272	0.2692	0.2229	0.1856	0.04280701	0.28195488
57.5	20.5	77.94119621153702	29.79751690179729	0.0748	0.076	0.1016	0.1146	0.1689	0.1981	0.2129	0.2046	0.2272	0.2692	0.2229	0.1856	0.04280701	0.28195488
3.5	21.5	77.9362152680191	29.797424662102515	0.0367	0.0438	0.0656	0.0564	0.0997	0.2026	0.243	0.2335	0.252	0.2765	0.1641	0.0941	-0.17454727	0.6109003
4.5	21.5	77.93630750771386	29.797424662102515	0.0367	0.0454	0.0684	0.0602	0.0997	0.2026	0.243	0.2305	0.252	0.2765	0.1641	0.0941	-0.16827165	0.5858273
5.5	21.5	77.93639974740864	29.797424662102515	0.0359	0.0478	0.0672	0.0587	0.0954	0.1984	0.2342	0.2308	0.2505	0.2532	0.1644	0.094	-0.16801621	0.59447324
6.5	21.5	77.93649198710342	29.797424662102515	0.0359	0.0424	0.0675	0.0583	0.0954	0.1984	0.2342	0.2338	0.2505	0.2532	0.1644	0.094	-0.17428428	0.6008216
7.5	21.5	77.9365842267982	29.797424662102515	0.0354	0.0424	0.0683	0.0584	0.0927	0.1968	0.2303	0.2304	0.2462	0.2532	0.1621	0.0945	-0.17401272	0.5955679
