Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
55.5	45.5	78.09044003768537	29.902393434758146	0.0522	0.0732	0.1076	0.0982	0.1415	0.265	0.2959	0.2912	0.3182	0.3187	0.2332	0.1559	0.49563432	-0.11060262	-0.46038115
56.5	45.5	78.09053227738013	29.902393434758146	0.0522	0.0732	0.1076	0.0982	0.1415	0.265	0.2959	0.2912	0.3182	0.3187	0.2332	0.1559	0.49563432	-0.11060262	-0.46038115
57.5	45.5	78.09062451707491	29.902393434758146	0.051	0.0752	0.1018	0.0991	0.1501	0.2652	0.2987	0.3038	0.3224	0.3187	0.2308	0.1563	0.5080665	-0.13655066	-0.4980276
58.5	45.5	78.0907167567697	29.902393434758146	0.051	0.0828	0.113	0.1116	0.1501	0.2652	0.2987	0.2946	0.3224	0.3187	0.2308	0.1563	0.450517	-0.1214313	-0.44553486
59.5	45.5	78.09080899646447	29.902393434758146	0.049	0.0664	0.11	0.0939	0.1372	0.246	0.2786	0.3185	0.296	0.3187	0.2276	0.1606	0.5446169	-0.16645306	-0.48658112
60.5	45.5	78.09090123615924	29.902393434758146	0.049	0.065	0.102	0.091	0.1372	0.246	0.2786	0.2874	0.296	0.3187	0.2276	0.1606	0.5190275	-0.11611653	-0.47611713
61.5	45.5	78.09099347585402	29.902393434758146	0.0465	0.0738	0.1064	0.1094	0.1382	0.2315	0.2578	0.2614	0.2734	0.325	0.2274	0.1707	0.40992454	-0.06955812	-0.42142472
62.5	45.5	78.0910857155488	29.902393434758146	0.0465	0.0693	0.0965	0.0977	0.1382	0.2315	0.2578	0.2996	0.2734	0.325	0.2274	0.1707	0.5081802	-0.1370019	-0.5127493
63.5	45.5	78.09117795524358	29.902393434758146	0.0439	0.0516	0.084	0.0661	0.1314	0.2738	0.3167	0.3704	0.337	0.325	0.2206	0.1463	0.69713634	-0.25346872	-0.6302817
64.5	45.5	78.09127019493835	29.902393434758146	0.0439	0.058	0.0869	0.0772	0.1314	0.2738	0.3167	0.3239	0.337	0.325	0.2206	0.1463	0.6150586	-0.18971537	-0.5769231
65.5	45.5	78.09136243463313	29.902393434758146	0.0439	0.058	0.0869	0.0772	0.1314	0.2738	0.3167	0.3239	0.337	0.325	0.2206	0.1463	0.6150586	-0.18971537	-0.5769231
66.5	45.5	78.0914546743279	29.902393434758146	0.0403	0.0796	0.1156	0.1148	0.139	0.2631	0.3066	0.28	0.3281	0.325	0.2161	0.1546	0.41843972	-0.12880467	-0.4155713
67.5	45.5	78.09154691402269	29.902393434758146	0.0403	0.0725	0.1094	0.1028	0.139	0.2631	0.3066	0.3112	0.3281	0.325	0.2161	0.1546	0.50338167	-0.18035272	-0.47979078
68.5	45.5	78.09163915371745	29.902393434758146	0.0366	0.0536	0.08	0.0726	0.1021	0.2433	0.3028	0.3232	0.3317	0.3032	0.1822	0.1093	0.6331481	-0.27898693	-0.6031746
