Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
21.5	2.5	77.93787558252507	29.799177216303267	0.0431	0.0509	0.0773	0.0692	0.1118	0.2187	0.261	0.2421	0.2728	0.2722	0.1958	0.127	-0.10573189	0.55541277
19.5	3.5	77.93769110313552	29.79908497660849	0.0427	0.0482	0.0708	0.0647	0.1054	0.2166	0.2407	0.2351	0.2664	0.2722	0.1796	0.1057	-0.13383168	0.5683789
20.5	3.5	77.93778334283029	29.79908497660849	0.0427	0.0465	0.0766	0.0626	0.1054	0.2166	0.2407	0.2496	0.2664	0.2722	0.1796	0.1057	-0.16309412	0.598975
21.5	3.5	77.93787558252507	29.79908497660849	0.0431	0.0474	0.078	0.0626	0.1118	0.2187	0.261	0.2699	0.2728	0.2722	0.1958	0.127	-0.15911528	0.6234586
22.5	3.5	77.93796782221985	29.79908497660849	0.0431	0.0504	0.0783	0.0714	0.1118	0.2187	0.261	0.2732	0.2728	0.2722	0.1958	0.127	-0.16503197	0.5856065
16.5	4.5	77.93741438405118	29.798992736913714	0.0448	0.0506	0.0777	0.0692	0.1103	0.2176	0.251	0.249	0.2738	0.2716	0.1794	0.1102	-0.16246499	0.5650534
17.5	4.5	77.93750662374596	29.798992736913714	0.0429	0.052	0.0777	0.0698	0.1131	0.2103	0.2425	0.2565	0.257	0.2716	0.1754	0.1063	-0.18777494	0.5721729
18.5	4.5	77.93759886344074	29.798992736913714	0.0429	0.0495	0.0746	0.0654	0.1131	0.2103	0.2425	0.2585	0.257	0.2716	0.1754	0.1063	-0.19151878	0.5961717
19.5	4.5	77.93769110313552	29.798992736913714	0.0415	0.0457	0.0776	0.0643	0.1114	0.2341	0.263	0.2519	0.2822	0.2722	0.1783	0.105	-0.17108321	0.59329534
20.5	4.5	77.93778334283029	29.798992736913714	0.0415	0.0501	0.0751	0.0604	0.1114	0.2341	0.263	0.2854	0.2822	0.2722	0.1783	0.105	-0.23096833	0.6506651
