Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDWI	NDBI	PISI
25.5	44.5	77.93824454130417	29.795303149122656	0.0947	0.1882	0.217	0.2256	0.2101	0.2056	0.2085	0.2353	0.2024	0.1871	0.2253	0.1925	0.02104578	0.10004677	-0.021710824	0.094228886
26.5	44.5	77.93833678099895	29.795303149122656	0.0947	0.1882	0.217	0.2256	0.2101	0.2056	0.2085	0.2353	0.2024	0.1871	0.2253	0.1925	0.02104578	0.10004677	-0.021710824	0.094228886
21.5	45.5	77.93787558252507	29.79521090942788	0.0975	0.118	0.142	0.1498	0.1701	0.1796	0.1768	0.1642	0.1852	0.1736	0.2064	0.1833	0.045859843	-0.054964058	0.113869436	0.0774969
22.5	45.5	77.93796782221985	29.79521090942788	0.0975	0.1676	0.1946	0.21	0.2457	0.2364	0.2333	0.2182	0.2358	0.1736	0.245	0.2266	0.01914994	-0.01888491	0.05785839	0.08716022
23.5	45.5	77.93806006191463	29.79521090942788	0.0975	0.2038	0.235	0.25	0.2457	0.2364	0.2333	0.2542	0.2358	0.1736	0.245	0.2266	0.00833005	0.057404336	-0.0184295	0.09616925
24.5	45.5	77.93815230160939	29.79521090942788	0.0947	0.216	0.2504	0.2696	0.293	0.2913	0.2819	0.2706	0.2813	0.1871	0.2845	0.2768	0.0018511424	-0.011326298	0.025040554	0.09675811
25.5	45.5	77.93824454130417	29.79521090942788	0.0947	0.2304	0.2686	0.2818	0.293	0.2913	0.2819	0.2908	0.2813	0.1871	0.2845	0.2768	0.015717784	0.024665255	-0.010950812	0.09696987
26.5	45.5	77.93833678099895	29.79521090942788	0.0947	0.2304	0.2686	0.2818	0.293	0.2913	0.2819	0.2908	0.2813	0.1871	0.2845	0.2768	0.015717784	0.024665255	-0.010950812	0.09696987
27.5	45.5	77.93842902069373	29.79521090942788	0.0947	0.2026	0.2288	0.2438	0.2074	0.2243	0.2184	0.2643	0.2297	0.1871	0.2468	0.233	0.04034637	0.06293987	-0.034239843	0.08939388
21.5	46.5	77.93787558252507	29.795118669733103	0.0975	0.1542	0.1782	0.1882	0.1701	0.1796	0.1768	0.2108	0.1852	0.1736	0.2064	0.1833	0.056641627	0.069779254	-0.0105465	0.080426835
22.5	46.5	77.93796782221985	29.795118669733103	0.0975	0.2098	0.2316	0.2482	0.2457	0.2364	0.2333	0.25	0.2358	0.1736	0.245	0.2266	0.0036130082	0.04909776	-0.010101001	0.10349316
23.5	46.5	77.93806006191463	29.795118669733103	0.0975	0.2172	0.2474	0.2718	0.2457	0.2364	0.2333	0.2707	0.2358	0.1736	0.245	0.2266	-0.0020276567	0.08867887	-0.04983518	0.09768378
24.5	46.5	77.93815230160939	29.795118669733103	0.0947	0.2254	0.2636	0.2856	0.293	0.2913	0.2819	0.2885	0.2813	0.1871	0.2845	0.2768	0.005051392	0.020696983	-0.006980817	0.09419292
25.5	46.5	77.93824454130417	29.795118669733103	0.0947	0.2254	0.2618	0.2852	0.293	0.2913	0.2819	0.292	0.2813	0.1871	0.2845	0.2768	0.011781005	0.026722906	-0.013009528	0.09218568
26.5	46.5	77.93833678099895	29.795118669733103	0.0947	0.2254	0.2618	0.2852	0.293	0.2913	0.2819	0.292	0.2813	0.1871	0.2845	0.2768	0.011781005	0.026722906	-0.013009528	0.09218568
27.5	46.5	77.93842902069373	29.795118669733103	0.0947	0.1952	0.2356	0.2558	0.2074	0.2243	0.2184	0.2696	0.2297	0.1871	0.2468	0.233	0.026265692	0.07282135	-0.044151817	0.08029223
23.5	47.5	77.93806006191463	29.795026430038327	0.1017	0.2276	0.2666	0.288	0.2386	0.2422	0.2419	0.2931	0.2362	0.1647	0.2462	0.2371	0.008776479	0.10562051	-0.08696459	0.093357064
24.5	47.5	77.93815230160939	29.795026430038327	0.1025	0.2294	0.2686	0.2938	0.282	0.2748	0.2752	0.2978	0.2645	0.1859	0.2865	0.2844	0.006761339	0.023016177	-0.019339375	0.092136174
25.5	47.5	77.93824454130417	29.795026430038327	0.1025	0.1968	0.2388	0.2642	0.282	0.2748	0.2752	0.2729	0.2645	0.1859	0.2865	0.2844	0.01619807	-0.020635208	0.024311801	0.07971042
26.5	47.5	77.93833678099895	29.795026430038327	0.1025	0.1968	0.2388	0.2642	0.282	0.2748	0.2752	0.2729	0.2645	0.1859	0.2865	0.2844	0.01619807	-0.020635208	0.024311801	0.07971042
24.5	48.5	77.93815230160939	29.79493419034355	0.1025	0.2098	0.246	0.2648	0.282	0.2748	0.2752	0.2739	0.2645	0.1859	0.2865	0.2844	0.0168925	-0.018807065	0.022483949	0.089786515
