Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
68.5	15.5	77.94221084817956	29.797978100271173	0.1108	0.125	0.1414	0.156	0.1689	0.1983	0.2022	0.1959	0.209	0.217	0.2602	0.2763	0.14097786	0.113384455
67.5	16.5	77.94211860848479	29.797885860576397	0.1108	0.1058	0.1256	0.1374	0.173	0.2003	0.213	0.1899	0.2212	0.217	0.247	0.2325	0.13069353	0.16040328
68.5	16.5	77.94221084817956	29.797885860576397	0.1108	0.1208	0.1366	0.156	0.1689	0.1983	0.2022	0.1991	0.209	0.217	0.2602	0.2763	0.1330285	0.12137426
66.5	17.5	77.94202636879001	29.79779362088162	0.1108	0.1013	0.1254	0.1354	0.1681	0.2193	0.235	0.2458	0.2424	0.217	0.2447	0.2067	-0.002242617	0.28961176
67.5	17.5	77.94211860848479	29.79779362088162	0.1108	0.1042	0.1238	0.1298	0.1681	0.2193	0.235	0.1992	0.2424	0.217	0.2447	0.2067	0.10250055	0.21094224
68.5	17.5	77.94221084817956	29.79779362088162	0.1108	0.1172	0.1372	0.147	0.17	0.195	0.2039	0.198	0.213	0.217	0.2494	0.2367	0.11488602	0.14782609
69.5	17.5	77.94230308787434	29.79779362088162	0.1108	0.1144	0.1406	0.1496	0.17	0.195	0.2039	0.1918	0.213	0.217	0.2494	0.2367	0.13055305	0.12360867
66.5	18.5	77.94202636879001	29.797701381186844	0.1154	0.1008	0.1406	0.146	0.1841	0.2439	0.2614	0.2895	0.2868	0.2373	0.2652	0.2213	-0.04380748	0.3295063
67.5	18.5	77.94211860848479	29.797701381186844	0.1154	0.1011	0.125	0.1278	0.1841	0.2439	0.2614	0.2631	0.2868	0.2373	0.2652	0.2213	0.003974997	0.34612432
68.5	18.5	77.94221084817956	29.797701381186844	0.1108	0.1202	0.1412	0.1528	0.17	0.195	0.2039	0.2192	0.213	0.217	0.2494	0.2367	0.0644473	0.17849465
69.5	18.5	77.94230308787434	29.797701381186844	0.1108	0.114	0.1408	0.1514	0.17	0.195	0.2039	0.2037	0.213	0.217	0.2494	0.2367	0.10086073	0.14728247
70.5	18.5	77.94239532756912	29.797701381186844	0.1108	0.1144	0.138	0.149	0.1819	0.2012	0.2101	0.2017	0.2231	0.217	0.2601	0.2623	0.12646168	0.15027088
65.5	19.5	77.94193412909523	29.797609141492067	0.1154	0.1086	0.1376	0.1608	0.1841	0.2439	0.2614	0.2736	0.2868	0.2373	0.2652	0.2213	-0.015590243	0.25966853
66.5	19.5	77.94202636879001	29.797609141492067	0.1154	0.1086	0.1376	0.1608	0.1841	0.2439	0.2614	0.2736	0.2868	0.2373	0.2652	0.2213	-0.015590243	0.25966853
67.5	19.5	77.94211860848479	29.797609141492067	0.1154	0.1058	0.1236	0.1326	0.1841	0.2439	0.2614	0.2658	0.2868	0.2373	0.2652	0.2213	-0.0011299626	0.33433735
68.5	19.5	77.94221084817956	29.797609141492067	0.1154	0.1076	0.131	0.1428	0.172	0.2015	0.2227	0.2266	0.2295	0.2373	0.2504	0.222	0.04989518	0.22685435
69.5	19.5	77.94230308787434	29.797609141492067	0.1154	0.114	0.1352	0.1448	0.172	0.2015	0.2227	0.2042	0.2295	0.2373	0.2504	0.222	0.10162782	0.17020054
