Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
16.5	8.5	77.93741438405118	29.79862377813461	0.0826	0.0819	0.0974	0.0825	0.1179	0.2212	0.2544	0.2526	0.2744	0.272	0.1611	0.087	-0.22117479	0.50760967
17.5	8.5	77.93750662374596	29.79862377813461	0.0826	0.0819	0.0974	0.0825	0.1179	0.2212	0.2544	0.2526	0.2744	0.272	0.1611	0.087	-0.22117479	0.50760967
54.5	8.5	77.9409194924527	29.79862377813461	0.0691	0.0673	0.0841	0.0655	0.1049	0.225	0.2615	0.2526	0.2754	0.2868	0.1634	0.0886	-0.21442312	0.5881798
55.5	8.5	77.94101173214747	29.79862377813461	0.0691	0.062	0.0816	0.0621	0.1021	0.2379	0.2765	0.2832	0.2968	0.2868	0.1584	0.0794	-0.2826087	0.6403128
56.5	8.5	77.94110397184224	29.79862377813461	0.0691	0.0636	0.0808	0.0622	0.1021	0.2379	0.2765	0.2836	0.2968	0.2868	0.1584	0.0794	-0.28325793	0.6402545
57.5	8.5	77.94119621153702	29.79862377813461	0.0691	0.0634	0.0783	0.0611	0.1003	0.2296	0.2685	0.2736	0.2907	0.2868	0.1599	0.0787	-0.26228377	0.63489693
58.5	8.5	77.9412884512318	29.79862377813461	0.0691	0.0648	0.0815	0.0619	0.1008	0.2424	0.2834	0.2902	0.2995	0.2868	0.162	0.0804	-0.28350288	0.64839536
59.5	8.5	77.94138069092658	29.79862377813461	0.0828	0.0653	0.0781	0.0591	0.106	0.2311	0.2715	0.2664	0.2944	0.252	0.1614	0.0863	-0.2454418	0.6368664
11.5	9.5	77.93695318557731	29.798531538439832	0.0829	0.0819	0.1001	0.0836	0.1187	0.2203	0.2503	0.2453	0.2682	0.276	0.1635	0.0866	-0.20009784	0.49163878
12.5	9.5	77.93704542527207	29.798531538439832	0.0826	0.0843	0.1007	0.085	0.1202	0.2185	0.254	0.2423	0.274	0.272	0.1646	0.0898	-0.19095601	0.48059884
13.5	9.5	77.93713766496685	29.798531538439832	0.0826	0.0838	0.1007	0.0877	0.1202	0.2185	0.254	0.2519	0.274	0.272	0.1646	0.0898	-0.20960382	0.48351
14.5	9.5	77.93722990466163	29.798531538439832	0.0826	0.0853	0.1004	0.0865	0.1206	0.2221	0.2591	0.2599	0.2806	0.272	0.1668	0.0927	-0.21818607	0.5005774
15.5	9.5	77.93732214435641	29.798531538439832	0.0826	0.0844	0.0974	0.0827	0.1175	0.2224	0.2576	0.259	0.2724	0.272	0.1654	0.086	-0.22054666	0.51594967
16.5	9.5	77.93741438405118	29.798531538439832	0.0826	0.0836	0.099	0.0836	0.1179	0.2212	0.2544	0.2598	0.2744	0.272	0.1611	0.087	-0.23449749	0.51310426
17.5	9.5	77.93750662374596	29.798531538439832	0.0826	0.0836	0.099	0.0836	0.1179	0.2212	0.2544	0.2598	0.2744	0.272	0.1611	0.087	-0.23449749	0.51310426
53.5	9.5	77.94082725275791	29.798531538439832	0.0691	0.0645	0.0819	0.0634	0.1049	0.225	0.2615	0.2691	0.2754	0.2868	0.1634	0.0886	-0.2443931	0.6186466
54.5	9.5	77.9409194924527	29.798531538439832	0.0691	0.0645	0.0819	0.0634	0.1049	0.225	0.2615	0.2691	0.2754	0.2868	0.1634	0.0886	-0.2443931	0.6186466
55.5	9.5	77.94101173214747	29.798531538439832	0.0691	0.063	0.081	0.0586	0.1021	0.2379	0.2765	0.2735	0.2968	0.2868	0.1584	0.0794	-0.26649687	0.64709425
56.5	9.5	77.94110397184224	29.798531538439832	0.0691	0.0651	0.0819	0.0637	0.1021	0.2379	0.2765	0.2875	0.2968	0.2868	0.1584	0.0794	-0.2895268	0.63724375
57.5	9.5	77.94119621153702	29.798531538439832	0.0691	0.0657	0.0798	0.062	0.1003	0.2296	0.2685	0.2812	0.2907	0.2868	0.1599	0.0787	-0.27499434	0.63869464
58.5	9.5	77.9412884512318	29.798531538439832	0.0691	0.0648	0.0805	0.062	0.1003	0.2296	0.2685	0.2558	0.2907	0.2868	0.1599	0.0787	-0.23069525	0.6098175
6.5	10.5	77.93649198710342	29.798439298745055	0.0829	0.084	0.0977	0.0824	0.1209	0.224	0.2598	0.2591	0.2799	0.276	0.1613	0.0817	-0.23263556	0.5174231
7.5	10.5	77.9365842267982	29.798439298745055	0.0829	0.084	0.0984	0.0832	0.1195	0.2213	0.2578	0.2569	0.2728	0.276	0.1614	0.0838	-0.22830506	0.5107322
8.5	10.5	77.93667646649297	29.798439298745055	0.0829	0.084	0.0984	0.0832	0.1195	0.2213	0.2578	0.2569	0.2728	0.276	0.1614	0.0838	-0.22830506	0.5107322
9.5	10.5	77.93676870618775	29.798439298745055	0.0829	0.0847	0.1008	0.0835	0.1195	0.2213	0.2578	0.2569	0.2728	0.276	0.1614	0.0838	-0.22830506	0.5094007
10.5	10.5	77.93686094588253	29.798439298745055	0.0829	0.08	0.0998	0.0835	0.1187	0.2203	0.2503	0.253	0.2682	0.276	0.1635	0.0866	-0.21488595	0.5037147
11.5	10.5	77.93695318557731	29.798439298745055	0.0829	0.0833	0.0977	0.0805	0.1187	0.2203	0.2503	0.2583	0.2682	0.276	0.1635	0.0866	-0.22475109	0.5247934
12.5	10.5	77.93704542527207	29.798439298745055	0.0826	0.0812	0.0983	0.081	0.1202	0.2185	0.254	0.2564	0.274	0.272	0.1646	0.0898	-0.21805224	0.5198577
13.5	10.5	77.93713766496685	29.798439298745055	0.0826	0.0813	0.1016	0.0862	0.1202	0.2185	0.254	0.2547	0.274	0.272	0.1646	0.0898	-0.21488196	0.49427986
14.5	10.5	77.93722990466163	29.798439298745055	0.0826	0.0871	0.1042	0.0884	0.1206	0.2221	0.2591	0.2565	0.2806	0.272	0.1668	0.0927	-0.21190643	0.48738766
15.5	10.5	77.93732214435641	29.798439298745055	0.0826	0.0855	0.1044	0.0885	0.1206	0.2221	0.2591	0.2636	0.2806	0.272	0.1668	0.0927	-0.22490703	0.49730188
16.5	10.5	77.93741438405118	29.798439298745055	0.0826	0.0841	0.1015	0.0834	0.1203	0.2302	0.2732	0.2664	0.2897	0.272	0.166	0.0887	-0.23219244	0.5231561
17.5	10.5	77.93750662374596	29.798439298745055	0.0826	0.0841	0.1015	0.0834	0.1203	0.2302	0.2732	0.2664	0.2897	0.272	0.166	0.0887	-0.23219244	0.5231561
52.5	10.5	77.94073501306313	29.798439298745055	0.0691	0.0649	0.0792	0.065	0.1019	0.2346	0.2745	0.2567	0.2989	0.2868	0.1696	0.0864	-0.20431624	0.59589684
53.5	10.5	77.94082725275791	29.798439298745055	0.0691	0.0655	0.0796	0.0638	0.1019	0.2346	0.2745	0.2701	0.2989	0.2868	0.1696	0.0864	-0.22856493	0.61784965
54.5	10.5	77.9409194924527	29.798439298745055	0.0691	0.0655	0.0796	0.0638	0.1019	0.2346	0.2745	0.2701	0.2989	0.2868	0.1696	0.0864	-0.22856493	0.61784965
55.5	10.5	77.94101173214747	29.798439298745055	0.0691	0.0648	0.0796	0.0615	0.0997	0.2423	0.2924	0.275	0.304	0.2868	0.1667	0.0808	-0.24518904	0.6344725
56.5	10.5	77.94110397184224	29.798439298745055	0.0691	0.0624	0.0791	0.0617	0.0997	0.2423	0.2924	0.2766	0.304	0.2868	0.1667	0.0808	-0.24791336	0.635235
57.5	10.5	77.94119621153702	29.798439298745055	0.0691	0.0657	0.0775	0.0615	0.0989	0.2448	0.291	0.2674	0.3012	0.2868	0.1667	0.0805	-0.23197418	0.62602615
4.5	11.5	77.93630750771386	29.79834705905028	0.0829	0.0818	0.1001	0.0854	0.1206	0.2248	0.2608	0.2618	0.2782	0.2709	0.1634	0.084	-0.2314205	0.5080645
5.5	11.5	77.93639974740864	29.79834705905028	0.0821	0.0845	0.1014	0.0828	0.1201	0.2231	0.2554	0.2578	0.2735	0.2743	0.1625	0.0841	-0.22674285	0.5137992
6.5	11.5	77.93649198710342	29.79834705905028	0.0821	0.0847	0.0995	0.083	0.1201	0.2231	0.2554	0.2553	0.2735	0.2743	0.1625	0.0841	-0.22211583	0.50931126
7.5	11.5	77.9365842267982	29.79834705905028	0.0821	0.0818	0.0984	0.0826	0.12	0.2228	0.2611	0.2541	0.2762	0.2743	0.1612	0.0832	-0.2236937	0.5093555
8.5	11.5	77.93667646649297	29.79834705905028	0.0821	0.0818	0.0984	0.0826	0.12	0.2228	0.2611	0.2541	0.2762	0.2743	0.1612	0.0832	-0.2236937	0.5093555
9.5	11.5	77.93676870618775	29.79834705905028	0.0821	0.0836	0.1016	0.0828	0.12	0.2228	0.2611	0.254	0.2762	0.2743	0.1612	0.0832	-0.22350675	0.50831354
10.5	11.5	77.93686094588253	29.79834705905028	0.0821	0.0825	0.1019	0.0829	0.1178	0.2237	0.2592	0.2542	0.2815	0.2743	0.1592	0.0789	-0.22980167	0.50815785
11.5	11.5	77.93695318557731	29.79834705905028	0.0821	0.0808	0.1007	0.08	0.1178	0.2237	0.2592	0.2614	0.2815	0.2743	0.1592	0.0789	-0.24298625	0.53134155
12.5	11.5	77.93704542527207	29.79834705905028	0.0822	0.0832	0.0976	0.0795	0.1154	0.2283	0.2675	0.2631	0.2825	0.2811	0.1615	0.0828	-0.23928401	0.53590196
13.5	11.5	77.93713766496685	29.79834705905028	0.0822	0.0826	0.1002	0.0815	0.1154	0.2283	0.2675	0.2676	0.2825	0.2811	0.1615	0.0828	-0.24726169	0.53308505
14.5	11.5	77.93722990466163	29.79834705905028	0.0822	0.0844	0.1006	0.0865	0.1266	0.2279	0.2669	0.2664	0.2847	0.2811	0.1666	0.0926	-0.23048499	0.5097762
15.5	11.5	77.93732214435641	29.79834705905028	0.0822	0.0868	0.106	0.0921	0.1266	0.2279	0.2669	0.2622	0.2847	0.2811	0.1666	0.0926	-0.22294775	0.4801016
16.5	11.5	77.93741438405118	29.79834705905028	0.0822	0.0849	0.1028	0.0875	0.1257	0.2278	0.271	0.2644	0.2832	0.2811	0.1706	0.0958	-0.2156322	0.5026997
17.5	11.5	77.93750662374596	29.79834705905028	0.0826	0.0855	0.099	0.0843	0.1203	0.2302	0.2732	0.2843	0.2897	0.272	0.166	0.0887	-0.26271376	0.5425936
