Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
102.5	17.5	78.09477530333986	29.904976146211887	0.0382	0.0416	0.0688	0.0493	0.09	0.2364	0.2892	0.2973	0.3125	0.3283	0.1558	0.0785	0.7155222	-0.3122931	-0.6241464
103.5	17.5	78.09486754303464	29.904976146211887	0.0382	0.0402	0.0695	0.052	0.09	0.2364	0.2892	0.3245	0.3125	0.3283	0.1558	0.0785	0.7237716	-0.35123882	-0.6472081
104.5	17.5	78.09495978272942	29.904976146211887	0.0382	0.0402	0.0695	0.052	0.09	0.2364	0.2892	0.3245	0.3125	0.3283	0.1558	0.0785	0.7237716	-0.35123882	-0.6472081
102.5	18.5	78.09477530333986	29.90488390651711	0.0335	0.0385	0.0618	0.0492	0.0876	0.2438	0.3001	0.2909	0.331	0.3283	0.1623	0.0842	0.71067333	-0.2837599	-0.6495605
103.5	18.5	78.09486754303464	29.90488390651711	0.0335	0.0398	0.0628	0.0508	0.0876	0.2438	0.3001	0.3188	0.331	0.3283	0.1623	0.0842	0.7251082	-0.3252962	-0.6708596
104.5	18.5	78.09495978272942	29.90488390651711	0.0335	0.0398	0.0628	0.0508	0.0876	0.2438	0.3001	0.3188	0.331	0.3283	0.1623	0.0842	0.7251082	-0.3252962	-0.6708596
105.5	18.5	78.09505202242418	29.90488390651711	0.0351	0.0366	0.0611	0.0474	0.0869	0.2493	0.3047	0.3132	0.3362	0.3283	0.1624	0.0814	0.73710483	-0.31707314	-0.6735239
101.5	19.5	78.09468306364508	29.904791666822334	0.0336	0.0404	0.0642	0.0483	0.0981	0.256	0.3053	0.3017	0.33	0.2939	0.1607	0.0833	0.724	-0.3049308	-0.64908445
102.5	19.5	78.09477530333986	29.904791666822334	0.0335	0.0413	0.0571	0.0483	0.0876	0.2438	0.3001	0.2979	0.331	0.3283	0.1623	0.0842	0.7209705	-0.29465446	-0.67830986
103.5	19.5	78.09486754303464	29.904791666822334	0.0335	0.038	0.058	0.0474	0.0876	0.2438	0.3001	0.3119	0.331	0.3283	0.1623	0.0842	0.7361536	-0.31547868	-0.6864017
