Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
18.5	9.5	78.08702716897864	29.905714063770098	0.0758	0.0881	0.1134	0.1228	0.1413	0.1678	0.1826	0.1983	0.2034	0.1752	0.2312	0.1827	0.23512925	0.07660068	-0.2723773
97.5	9.5	78.09431410486597	29.905714063770098	0.0782	0.1152	0.1412	0.15	0.1686	0.1911	0.2046	0.2258	0.2205	0.2059	0.2586	0.21	0.201703	0.06771264	-0.23051767
16.5	10.5	78.08684268958908	29.90562182407532	0.0758	0.0851	0.1062	0.1114	0.1405	0.1667	0.178	0.1983	0.1893	0.1752	0.2193	0.1874	0.28059414	0.05028735	-0.30246305
17.5	10.5	78.08693492928386	29.90562182407532	0.0758	0.0957	0.1136	0.1178	0.1442	0.174	0.188	0.2161	0.2076	0.1752	0.2261	0.1844	0.29439956	0.02261418	-0.3108887
18.5	10.5	78.08702716897864	29.90562182407532	0.0758	0.087	0.1132	0.1138	0.1442	0.174	0.188	0.2034	0.2076	0.1752	0.2261	0.1844	0.28247166	0.052852146	-0.2849021
15.5	11.5	78.08675044989431	29.905529584380545	0.0758	0.0933	0.1172	0.1266	0.1405	0.1667	0.178	0.1814	0.1893	0.1752	0.2193	0.1874	0.17792208	0.09458448	-0.21500334
16.5	11.5	78.08684268958908	29.905529584380545	0.0758	0.0899	0.1102	0.1192	0.1405	0.1667	0.178	0.1876	0.1893	0.1752	0.2193	0.1874	0.22294655	0.07790612	-0.25990596
17.5	11.5	78.08693492928386	29.905529584380545	0.0758	0.082	0.1005	0.1098	0.1442	0.174	0.188	0.2036	0.2076	0.1752	0.2261	0.1844	0.29929802	0.0523621	-0.33903322
18.5	11.5	78.08702716897864	29.905529584380545	0.0758	0.0973	0.1204	0.1236	0.1442	0.174	0.188	0.2106	0.2076	0.1752	0.2261	0.1844	0.26032317	0.03549346	-0.27250758
16.5	12.5	78.08684268958908	29.90543734468577	0.0758	0.0937	0.1158	0.124	0.1417	0.1612	0.1754	0.1831	0.1765	0.1752	0.2208	0.1993	0.19244547	0.09333993	-0.22515891
17.5	12.5	78.08693492928386	29.90543734468577	0.0758	0.086	0.1108	0.116	0.1445	0.1717	0.1803	0.1937	0.1979	0.1752	0.2291	0.1981	0.25088796	0.08372754	-0.2722496
18.5	12.5	78.08702716897864	29.90543734468577	0.0758	0.0887	0.1078	0.1172	0.1445	0.1717	0.1803	0.2019	0.1979	0.1752	0.2291	0.1981	0.26543403	0.06310904	-0.30384246
19.5	12.5	78.08711940867342	29.90543734468577	0.0758	0.1016	0.1274	0.1358	0.15	0.1846	0.1919	0.2183	0.213	0.1752	0.2291	0.1941	0.23298502	0.02413948	-0.26294476
19.5	13.5	78.08711940867342	29.905345104990992	0.0758	0.0963	0.1158	0.1228	0.15	0.1846	0.1919	0.2091	0.213	0.1752	0.2291	0.1941	0.26001805	0.045641284	-0.28716525
73.5	28.5	78.09210035219134	29.903961509569346	0.0617	0.0814	0.1062	0.1216	0.1373	0.1606	0.1696	0.1817	0.1764	0.1758	0.2209	0.1999	0.19815364	0.09736709	-0.26224384
74.5	28.5	78.09219259188612	29.903961509569346	0.0617	0.0828	0.1048	0.121	0.1373	0.1606	0.1696	0.1855	0.1764	0.1758	0.2209	0.1999	0.21044044	0.08710631	-0.27798828
72.5	29.5	78.09200811249657	29.90386926987457	0.0617	0.0793	0.108	0.1236	0.1426	0.1597	0.1692	0.1818	0.1786	0.1758	0.2329	0.2148	0.19056973	0.12322161	-0.25465834
73.5	29.5	78.09210035219134	29.90386926987457	0.0617	0.0839	0.1074	0.1256	0.1431	0.1601	0.1668	0.1833	0.1828	0.1758	0.2276	0.2087	0.18679187	0.1078121	-0.2610939
74.5	29.5	78.09219259188612	29.90386926987457	0.0617	0.0828	0.107	0.1222	0.1431	0.1601	0.1668	0.1782	0.1828	0.1758	0.2276	0.2087	0.18641813	0.12173481	-0.24964938
70.5	30.5	78.09182363310701	29.903777030179793	0.0617	0.0788	0.1114	0.1246	0.1365	0.1678	0.1779	0.1814	0.1918	0.1758	0.2229	0.1938	0.18562092	0.10264655	-0.23907104
71.5	30.5	78.09191587280179	29.903777030179793	0.0617	0.0816	0.1076	0.1216	0.1426	0.1597	0.1692	0.1836	0.1786	0.1758	0.2329	0.2148	0.20314546	0.11836735	-0.26098898
72.5	30.5	78.09200811249657	29.903777030179793	0.0617	0.0821	0.1098	0.124	0.1426	0.1597	0.1692	0.1818	0.1786	0.1758	0.2329	0.2148	0.18901241	0.12322161	-0.24691355
73.5	30.5	78.09210035219134	29.903777030179793	0.0617	0.0803	0.1084	0.1248	0.1431	0.1601	0.1668	0.1812	0.1828	0.1758	0.2276	0.2087	0.18431373	0.11350293	-0.2513812
69.5	31.5	78.09173139341223	29.903684790485016	0.0617	0.0839	0.11	0.1268	0.1393	0.1567	0.1679	0.1775	0.1775	0.1758	0.2286	0.2133	0.16661188	0.12583108	-0.23478259
70.5	31.5	78.09182363310701	29.903684790485016	0.0617	0.085	0.1088	0.1252	0.1399	0.1552	0.1629	0.1815	0.1721	0.1758	0.2275	0.2128	0.183567	0.11246944	-0.25043058
71.5	31.5	78.09191587280179	29.903684790485016	0.0617	0.085	0.1088	0.1252	0.1399	0.1552	0.1629	0.1815	0.1721	0.1758	0.2275	0.2128	0.183567	0.11246944	-0.25043058
72.5	31.5	78.09200811249657	29.903684790485016	0.0617	0.0844	0.1092	0.123	0.1399	0.1552	0.1629	0.1794	0.1721	0.1758	0.2275	0.2128	0.18650791	0.11821088	-0.24324323
68.5	32.5	78.09163915371745	29.90359255079024	0.0617	0.0849	0.1112	0.1238	0.1393	0.1567	0.1679	0.1782	0.1775	0.1758	0.2286	0.2133	0.18013246	0.123893775	-0.2315135
69.5	32.5	78.09173139341223	29.90359255079024	0.0617	0.086	0.1122	0.125	0.1393	0.1567	0.1679	0.1763	0.1775	0.1758	0.2286	0.2133	0.1702622	0.12916768	-0.22218372
70.5	32.5	78.09182363310701	29.90359255079024	0.0617	0.0877	0.1116	0.1272	0.1399	0.1552	0.1629	0.1765	0.1721	0.1758	0.2275	0.2128	0.1623312	0.12623766	-0.225269
71.5	32.5	78.09191587280179	29.90359255079024	0.0617	0.0877	0.1116	0.1272	0.1399	0.1552	0.1629	0.1765	0.1721	0.1758	0.2275	0.2128	0.1623312	0.12623766	-0.225269
