Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
102.5	18.5	78.09477530333986	29.90488390651711	0.0536	0.0616	0.077	0.062	0.0917	0.1597	0.1839	0.1872	0.1926	0.1715	0.1257	0.072	0.5024077	-0.19654842	-0.41710824
103.5	18.5	78.09486754303464	29.90488390651711	0.0536	0.0629	0.0721	0.0625	0.0917	0.1597	0.1839	0.1919	0.1926	0.1715	0.1257	0.072	0.5086478	-0.20843829	-0.4537879
104.5	18.5	78.09495978272942	29.90488390651711	0.0536	0.0629	0.0721	0.0625	0.0917	0.1597	0.1839	0.1919	0.1926	0.1715	0.1257	0.072	0.5086478	-0.20843829	-0.4537879
105.5	18.5	78.09505202242418	29.90488390651711	0.0536	0.0601	0.0728	0.0622	0.0917	0.1615	0.1807	0.1938	0.2005	0.1715	0.1251	0.0714	0.5140625	-0.21542804	-0.45386344
106.5	18.5	78.09514426211896	29.90488390651711	0.0536	0.0585	0.0762	0.0625	0.0917	0.1615	0.1807	0.21	0.2005	0.1715	0.1251	0.0714	0.5412844	-0.25335717	-0.46750522
107.5	18.5	78.09523650181374	29.90488390651711	0.0536	0.0592	0.0765	0.0631	0.0921	0.1533	0.1745	0.2054	0.1964	0.1715	0.1233	0.0746	0.5299814	-0.24977183	-0.45725435
108.5	18.5	78.09532874150852	29.90488390651711	0.0536	0.0602	0.0765	0.0627	0.0921	0.1533	0.1745	0.176	0.1964	0.1715	0.1233	0.0746	0.47465435	-0.17607751	-0.39405942
109.5	18.5	78.09542098120329	29.90488390651711	0.0551	0.0625	0.0762	0.067	0.0901	0.1542	0.1841	0.1804	0.1774	0.1864	0.1252	0.0786	0.45836702	-0.18062826	-0.4060795
110.5	18.5	78.09551322089807	29.90488390651711	0.0551	0.0602	0.0752	0.0619	0.0901	0.1542	0.1841	0.2218	0.1774	0.1864	0.1252	0.0786	0.56362355	-0.27838615	-0.4936027
111.5	18.5	78.09560546059285	29.90488390651711	0.0551	0.0618	0.0789	0.0705	0.1002	0.1533	0.1769	0.213	0.1869	0.1864	0.1273	0.0837	0.5026455	-0.25183663	-0.4594039
78.5	19.5	78.09256155066522	29.904791666822334	0.0494	0.0531	0.0654	0.0526	0.0783	0.1638	0.1909	0.2281	0.2151	0.1597	0.1164	0.0642	0.6252227	-0.324238	-0.5543441
79.5	19.5	78.09265379036	29.904791666822334	0.0494	0.0554	0.067	0.0552	0.0783	0.1638	0.1909	0.1922	0.2151	0.1597	0.1164	0.0642	0.5537591	-0.2456254	-0.4830247
80.5	19.5	78.09274603005478	29.904791666822334	0.0494	0.0569	0.0677	0.0578	0.073	0.1302	0.1463	0.1583	0.1606	0.1597	0.11	0.0685	0.46506247	-0.18002236	-0.40088496
100.5	19.5	78.09459082395031	29.904791666822334	0.0567	0.0633	0.0735	0.0643	0.0884	0.15	0.1654	0.1819	0.179	0.1432	0.1198	0.0682	0.47766042	-0.20583358	-0.42443225
101.5	19.5	78.09468306364508	29.904791666822334	0.0567	0.0602	0.0753	0.065	0.0884	0.15	0.1654	0.1872	0.179	0.1432	0.1198	0.0682	0.48453608	-0.21954395	-0.4262857
102.5	19.5	78.09477530333986	29.904791666822334	0.0536	0.0614	0.0752	0.0638	0.0917	0.1597	0.1839	0.1958	0.1926	0.1715	0.1257	0.072	0.5084746	-0.21804047	-0.44501847
103.5	19.5	78.09486754303464	29.904791666822334	0.0536	0.0619	0.0727	0.0648	0.0917	0.1597	0.1839	0.1975	0.1926	0.1715	0.1257	0.072	0.50590926	-0.22215348	-0.4618801
104.5	19.5	78.09495978272942	29.904791666822334	0.0536	0.0619	0.0727	0.0648	0.0917	0.1597	0.1839	0.1975	0.1926	0.1715	0.1257	0.072	0.50590926	-0.22215348	-0.4618801
105.5	19.5	78.09505202242418	29.904791666822334	0.0536	0.0589	0.0752	0.065	0.0917	0.1615	0.1807	0.1918	0.2005	0.1715	0.1251	0.0714	0.49376947	-0.21047647	-0.43670413
106.5	19.5	78.09514426211896	29.904791666822334	0.0536	0.06	0.0762	0.0651	0.0917	0.1615	0.1807	0.1982	0.2005	0.1715	0.1251	0.0714	0.50550705	-0.22610578	-0.44460642
107.5	19.5	78.09523650181374	29.904791666822334	0.0536	0.0614	0.0775	0.0641	0.0921	0.1533	0.1745	0.2086	0.1964	0.1715	0.1233	0.0746	0.52988636	-0.25700513	-0.4582314
108.5	19.5	78.09532874150852	29.904791666822334	0.0536	0.06	0.0773	0.0669	0.0921	0.1533	0.1745	0.1738	0.1964	0.1715	0.1233	0.0746	0.44412133	-0.16997646	-0.38430908
109.5	19.5	78.09542098120329	29.904791666822334	0.0551	0.0625	0.0765	0.0698	0.0901	0.1542	0.1841	0.1634	0.1774	0.1864	0.1252	0.0786	0.40137222	-0.1323631	-0.36223426
110.5	19.5	78.09551322089807	29.904791666822334	0.0551	0.065	0.0785	0.0659	0.0901	0.1542	0.1841	0.1707	0.1774	0.1864	0.1252	0.0786	0.4429417	-0.15376815	-0.36998394
111.5	19.5	78.09560546059285	29.904791666822334	0.0551	0.0628	0.0802	0.0705	0.1002	0.1533	0.1769	0.169	0.1869	0.1864	0.1273	0.0837	0.41127348	-0.14073576	-0.3563403
82.5	20.5	78.09293050944433	29.904699427127557	0.0516	0.0533	0.0626	0.0533	0.0733	0.1208	0.1357	0.1465	0.1408	0.146	0.1069	0.0676	0.4664665	-0.15627469	-0.40124342
100.5	20.5	78.09459082395031	29.904699427127557	0.0567	0.0619	0.0718	0.0624	0.0917	0.1513	0.167	0.181	0.1861	0.1432	0.1329	0.0836	0.48726377	-0.1532335	-0.431962
101.5	20.5	78.09468306364508	29.904699427127557	0.0567	0.0589	0.0749	0.0659	0.0917	0.1513	0.167	0.1816	0.1861	0.1432	0.1329	0.0836	0.46747476	-0.15484898	-0.41598442
102.5	20.5	78.09477530333986	29.904699427127557	0.0536	0.0573	0.0753	0.0634	0.0968	0.1669	0.1978	0.2158	0.2021	0.1715	0.1339	0.0766	0.54584527	-0.23420075	-0.482652
103.5	20.5	78.09486754303464	29.904699427127557	0.0536	0.0604	0.0766	0.0648	0.0968	0.1669	0.1978	0.2126	0.2021	0.1715	0.1339	0.0766	0.5328046	-0.2271284	-0.47026277
104.5	20.5	78.09495978272942	29.904699427127557	0.0536	0.06	0.0769	0.0688	0.0925	0.1544	0.1804	0.1918	0.1954	0.1715	0.1277	0.0734	0.4719877	-0.20062597	-0.42761445
105.5	20.5	78.09505202242418	29.904699427127557	0.0536	0.06	0.0769	0.0688	0.0925	0.1544	0.1804	0.1918	0.1954	0.1715	0.1277	0.0734	0.4719877	-0.20062597	-0.42761445
106.5	20.5	78.09514426211896	29.904699427127557	0.0536	0.0667	0.0702	0.0661	0.0925	0.1544	0.1804	0.176	0.1954	0.1715	0.1277	0.0734	0.45394465	-0.15903851	-0.4297319
107.5	20.5	78.09523650181374	29.904699427127557	0.0536	0.0616	0.076	0.0688	0.0964	0.1485	0.1629	0.1791	0.1783	0.1715	0.1301	0.0821	0.44493747	-0.1584735	-0.40415525
108.5	20.5	78.09532874150852	29.904699427127557	0.0536	0.0627	0.0795	0.0731	0.0964	0.1485	0.1629	0.1757	0.1783	0.1715	0.1301	0.0821	0.4123794	-0.14911707	-0.37695923
109.5	20.5	78.09542098120329	29.904699427127557	0.0551	0.0593	0.0794	0.0724	0.0985	0.1437	0.1577	0.1715	0.1674	0.1864	0.1315	0.0841	0.40631405	-0.13201317	-0.36707848
110.5	20.5	78.09551322089807	29.904699427127557	0.0551	0.0658	0.0766	0.0685	0.0985	0.1437	0.1577	0.1627	0.1674	0.1864	0.1315	0.0841	0.40743947	-0.106050275	-0.3597994
111.5	20.5	78.09560546059285	29.904699427127557	0.0551	0.0633	0.0759	0.0672	0.0923	0.1339	0.1448	0.1542	0.1593	0.1864	0.1286	0.0843	0.39295396	-0.09052334	-0.34028682
100.5	21.5	78.09459082395031	29.90460718743278	0.0567	0.0646	0.0739	0.065	0.0917	0.1513	0.167	0.1826	0.1861	0.1432	0.1329	0.0836	0.47495964	-0.15752776	-0.4237817
101.5	21.5	78.09468306364508	29.90460718743278	0.0567	0.0627	0.0814	0.0678	0.0917	0.1513	0.167	0.1838	0.1861	0.1432	0.1329	0.0836	0.4610493	-0.16071992	-0.3861237
102.5	21.5	78.09477530333986	29.90460718743278	0.0536	0.0585	0.079	0.0661	0.0968	0.1669	0.1978	0.2042	0.2021	0.1715	0.1339	0.0766	0.5109138	-0.20792665	-0.44209036
103.5	21.5	78.09486754303464	29.90460718743278	0.0536	0.0598	0.0773	0.063	0.0968	0.1669	0.1978	0.2128	0.2021	0.1715	0.1339	0.0766	0.5431472	-0.22757426	-0.46708032
